CARSPHAIRN KNOCKGRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX576932,Long,-4.23961,Lat,55.212449,Elevation,641,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.03,3.41,6.94,6.75,4.99,3.52,8.93,7.93,5.22,5.56,7.23,2.73,8.79,4.85,8.08,10.64,8.77,5.23,8.48,7.44,10.32,5.75,13.83,2.74,9.41,7.47,8.99,6.59,9.49,3.75,6.99,9.7,9.63,5.87,4.53,1.86,9.77,,,,,,,,
February,,,,,,,4.64,4.36,5.17,3.24,9.05,7.03,5.44,4.71,8.2,11.91,5.45,1.22,8.48,0.96,5.08,0.96,6.19,6.82,1.03,7.04,6.28,3.47,5.31,2.69,0.39,6.28,0.15,5.52,0.76,7.45,3,8.08,5,7.09,2.64,5.08,3.63,,,,,,,,
March,,,,,,,3.73,6.19,8.14,4.52,4.45,1.66,7.35,7.15,9.24,2.24,1.19,2.49,2,4.27,6.28,9.26,2.32,3.3,1.11,1.5,3.55,5.8,7.96,1.05,3.28,1.65,3.29,3.78,3.42,2.12,3.78,3.57,3.56,6.56,5.87,3.67,4.7,,,,,,,,
April,,,,,,,1.69,3.94,2.07,4.07,4.31,4.71,1.53,5.37,3.12,3.75,4.68,2.39,1.07,3.4,3.17,2.2,4.11,3.86,3.58,6.98,3.39,3.56,1.99,1.72,3.13,2.54,5.74,2.38,3.42,5.16,1.53,3,0.63,2.89,3.49,2.04,4.06,,,,,,,,
May,,,,,,,6.88,5.49,2.58,2.3,2.65,3.51,1.69,5.04,3.16,1.71,4.05,4.47,2.58,1.37,6.82,3.01,3.07,3.38,4.72,7.9,3.73,3.21,1.57,4.89,2.45,4.14,3.4,3.78,4.46,1.21,2.19,2.84,5.15,1.15,1.93,4.44,3.4,,,,,,,,
June,,,,,,,1.58,4.98,2.74,5.17,2.27,3.42,6.58,3.91,0.77,1.06,2.82,3.3,2.3,2.89,2.49,0.72,2.32,2.04,2.77,0.23,3.57,5.12,6.52,2.09,2.72,7.11,2.03,3.52,2.75,5.88,2.4,2.35,6.01,3.85,1.38,0.96,1.58,,,,,,,,
July,,,,,,,2.77,2.78,4.81,6.6,5.42,2.85,3.41,1.08,4.16,4.48,4.39,0.87,5.03,1.11,3.74,4.74,4.5,5.25,5.33,2.88,3.54,6.12,2.16,4.21,5.31,4.56,4.64,5.91,2.94,2.63,5.89,6.81,5.52,5.86,6.43,3.21,4.28,,,,,,,,
August,,,,,,,6.27,5.78,4.35,2.73,11.22,2.95,4.67,1.96,5.33,3.56,3.4,6.82,4.13,3.44,4.3,8.13,4.34,9.86,5.13,4.15,4.43,7.51,7.39,5.99,9.98,2.71,1.86,2.86,6.06,1.79,3.75,3.45,2.77,2.39,2.25,7.62,6.27,,,,,,,,
September,,,,,,,1.56,1.17,6.25,2.93,2.28,2.84,2.79,3.06,2.24,2.38,1.85,3.02,8.24,3.41,3.39,2.73,3.46,8.29,8.31,4.26,3.26,5.32,2.93,0.97,4.73,1.63,7.38,1.83,8.62,8.33,5.58,3.25,5.22,2.7,5.86,3.52,6.88,,,,,,,,
October,,,,,,,8.94,9.35,1.9,11.48,3.84,6.48,5.19,4.4,2.1,4.79,9,10.19,8.1,1.64,5.36,4.04,2.69,9.56,4.15,7.74,6.35,6.55,11.37,8.35,10.27,3.83,8.06,4.09,10.5,10.33,6.2,4.4,11.12,3.89,8.74,5.86,7.28,,,,,,,,
November,,,,,,,4.68,5.22,5.61,2.21,4.79,8.09,5.23,9.46,7.32,3.06,5.87,6.88,8,4.24,4.65,5,4.86,7.24,4.26,2.59,7.85,5.55,9.16,11.03,6.5,15.77,5.15,2.63,1.26,7.81,5.93,1.32,11.06,10.03,8.38,5.68,1.71,,,,,,,,
December,,,,,,,5.94,6.67,6.7,7.08,8.5,13.57,11.19,5.26,11.37,8.88,6.01,3.32,7.84,11.16,7.28,8.61,5.39,7.65,10.4,6.13,2.36,1.82,6.22,14.14,7.18,5.55,11.39,1.86,12.22,5.41,7.93,5.44,5.89,3.61,7.98,3.62,10,,,,,,,,
Total,,,,,,,54.71,59.34,57.26,59.08,63.77,60.63,64,59.33,62.23,53.38,55.94,47.7,66.56,42.74,60.64,60.04,52.02,72.48,59.27,58.84,58.63,59.78,76.41,59.87,65.35,63.24,62.08,44.75,65.9,61.87,55.17,54.21,71.56,55.89,59.48,47.56,63.56,,,,,,,,
