"HERTFORD (COLE GREEN)",,,,,,,,,,,,
Grid ref,TL280116,Long,-0.145602,Lat,51.788422,,,,,,,
Station no,950/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,1.79,1.06,0.92,2.26,3.91,0.98,2.21,,,,
February,4.66,0.61,2.10,2.12,1.92,0.67,2.74,2.36,,,,
March,3.23,2.50,0.38,2.23,1.30,0.97,1.16,1.12,,,,
April,2.78,1.60,2.33,0.29,0.52,1.38,0.17,1.23,,,,
May,2.37,1.12,1.44,1.96,4.34,0.64,0.79,2.21,,,,
June,1.39,1.52,1.51,4.02,2.02,3.56,1.98,5.15,,,,
July,0.77,0.72,2.86,2.80,0.17,2.68,2.70,2.21,,,,
August,4.35,5.20,1.82,3.33,1.24,5.93,2.07,2.44,,,,
September,2.49,2.60,1.74,1.40,1.46,2.13,2.84,2.87,,,,
October,0.81,2.70,3.09,1.95,3.60,2.10,1.89,2.55,,,,
November,4.69,3.97,1.54,4.58,1.26,0.74,2.05,1.97,,,,
December,1.84,2.60,0.51,1.63,1.99,3.64,2.07,2.64,,,,
Total,32.41,26.93,20.38,27.23,22.08,28.35,21.44,28.96,,,,
Calc annual,32.41,26.93,20.38,27.23,22.08,28.35,21.44,28.96,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
