BAGNALSTOWN FENAGH HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS7731061369,Long,-6.857028,Lat,52.698222,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.12,3.48,5.22,4.95,3.05,5.76,1.23,,,2.56,0.91,1.57,2.19,5.3,4.35,3.24,3.88,2.85,3.58,2.63,6,2.1,1.85,3.01,4.33,4.13,1.15,3.17,3.36,4.31,2.74,3.21,1.85,4.3,3.83,2.99,4.33,0.69,2.06,1.74,,,,,,,,,,,5.1,3.87,3.96,1.76,7.76,4.06,8.22,3.6,4.41,1.7,5.78,2.2,3.74,2.28,2.91,0.85,5.39,7.31,4.01,3.74,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.83,3.31,4.96,1.44,2.81,2.47,3.95,,,4.73,4.44,3.33,2.97,5.2,4.6,4.38,2.58,1.46,0.89,2.16,1.22,0.56,3.23,2.97,2.43,0.45,1.38,1.61,1.38,3.14,3.73,1.43,3.25,2.68,3.72,1.02,2.42,1.46,1.61,0.61,,,,,,,,,,,2.4,1.71,2.18,6.59,1.55,4,2.43,3.23,3.14,3.24,0.93,2.19,0.29,3.42,0.13,3.13,3.4,3.76,2.16,3.51,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.34,2.04,3.21,2.99,1.14,1.6,3.13,,,1.78,3.05,2.95,2.11,1.8,3,1.8,2.47,1.36,3.5,1.42,5.48,1.78,0.99,0.63,2.05,3.19,3.1,5.06,0.78,0.8,1.12,1.98,1.87,5.99,2.35,3.99,2.22,0.97,3.52,2.83,,,,,,,,,,,4.44,2.74,1.39,2.27,0.81,0.6,0.97,4.22,5.5,1.19,4.77,1.82,1.38,2.7,2.73,1.06,2.61,4.62,0.88,2.34,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.01,3.57,2.76,0.87,1.71,0.92,2.29,,,2.55,3.18,1.53,4.49,2.35,1.3,4.56,1.62,1.33,2.16,2.37,1.19,2.1,1.37,1.01,4.33,1.51,0.57,4.32,3.15,2.25,1.94,2.12,2.4,1.45,1.37,3.81,1.51,3.06,2.12,4.38,,,,,,,,,,,4.07,0.6,2.98,3.33,2.47,3.67,2,0.7,2.33,0.67,1.71,3.49,2.24,0.82,2.61,2.03,1.96,3,0.06,1.57,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.96,0.24,1.78,2.2,1.34,1.88,0.42,,,1.93,0.78,2.01,3.18,2.65,1.6,2.27,4.03,1.01,2.18,6.25,2.39,3.77,3.26,2.4,4.25,0.62,0.26,1.65,3.8,2.82,2.25,1.49,1.78,3.23,2.87,0.72,2.81,3.71,1.85,1.82,,,,,,,,,,,2.71,1.72,1.36,1.37,3.99,5.12,2.25,1.3,1.06,2.74,2.45,5.27,4.16,1.82,1.91,0.88,0.72,1.4,2.64,0.86,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.06,2.25,4.39,1.18,1.8,2.66,1.54,,,4.44,2.22,3.95,3.3,1.5,0.9,1.02,1.25,0.21,4.47,1.2,3.6,3.94,2.31,1.57,2.77,1.49,1.82,2.89,4.23,3.26,5.23,2.14,3.04,2.49,1.76,1.4,1.43,4.51,1.97,2.22,,,,,,,,,,,1.88,0.32,0.94,0.91,3.26,0.44,3.24,2.97,5.6,2.07,2.01,3.45,2.07,2.45,1.34,3.74,2.24,1.58,3.02,2.11,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.53,4.45,2.09,3.49,1.81,2.97,1.47,,,3.19,6.87,1.56,4.77,4.7,3.8,1.85,3.8,1.44,5.68,2.02,3.26,3.88,4.2,2.11,4.64,3.72,5.12,1.64,0.56,4.27,4.1,0.77,2.68,5.27,2.44,1.78,1.29,2.88,3.76,2.76,,,,,,,,,,,6.48,4.12,3.05,2.39,3.29,2.6,2.74,2.77,1.21,2.8,2.71,4.36,4.31,2.53,0.84,0.68,6.11,3.65,5.65,6.52,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.88,2.72,5.4,6.09,4.65,2.01,3.89,,,4.7,2.3,4.87,3.42,4.3,0.7,2.99,2.57,2.22,2.41,5.37,2.55,6.31,4.9,4.4,2.99,5.35,1.31,5.03,4.15,2,3.71,3.18,2.82,5.18,3.97,6.24,1.88,3.17,3.71,1.28,,,,,,,,,,,3.29,4.76,6.65,5.71,2.73,2.23,2.2,5.56,6.96,3.25,6.28,2.98,1.61,1.17,3.88,1.48,0.53,2.48,3.41,1.52,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.63,3,3.41,2.48,2.78,5.15,4.69,,,4.2,3.87,2.27,3.73,4.7,2.2,3.77,4.54,2.03,0.6,0.75,2.15,2.27,3.61,1.6,0.45,1.25,4.73,2.72,1.95,1.69,1.18,4.39,3.88,3.04,3.53,1.7,0.99,1.57,5.08,2.38,,,,,,,,,,,1.02,1.27,4.13,2.86,6.23,2.72,0.78,2.03,1.31,0.85,4.73,2.86,2.78,2.37,4.67,4.58,3.89,3.17,2.66,2.31,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.86,3.85,3.56,3.35,4.96,5.59,5.36,,,1.66,4.01,3.99,2.91,2.1,1.85,3.5,6.45,2.2,2.01,5.46,2.32,5.91,2.3,2.83,3.72,1.98,3.38,2.79,4.47,1.41,3.59,3.05,2.32,4.03,1.74,0.94,5.45,6.07,2.23,5.35,,,,,,,,,,,5.51,2.56,1.01,3.96,3.18,2.93,2.68,3.43,5.3,3.54,4.91,1.51,3.93,3.82,2.8,2.38,1.73,2.78,5.01,2.86,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
