BAGNALSTOWN FENAGH HOUSE (monthly gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS7730061400,Long,-6.857169,Lat,52.6985,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.64,2.93,1.88,4.05,3.65,2.75,4.04,0.67,1.92,1.82,2.6,1.45,3.82,7.44,1.07,2.78,1.46,2.04,3,4.04,5.03,3.78,3.9,1.65,7.71,3.98,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.89,1.4,2.73,2.39,3.72,0.87,2.35,1.36,1.4,0.49,4.96,2.16,3.18,1.47,4.38,4.87,4.49,1.62,3.48,2.02,2.36,1.58,2,6.53,1.45,3.84,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.17,1.8,1.7,5.6,2.27,3.67,1.97,0.89,3.34,2.72,1.67,1.69,3.31,3.52,2.95,0.77,2,5.2,1.64,2.13,4.4,2.68,1.11,2.2,0.65,0.45,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.83,1.87,2.1,1.09,1.45,3.45,1.36,2.79,1.9,3.85,2.48,2.62,0.91,3.46,1.42,1.48,1.54,1.03,2.34,1.34,3.83,0.52,2.76,3.19,2.4,3.6,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.1,1.01,1.53,2.58,2.6,0.35,2.52,3.29,1.75,1.59,1.78,1.7,1.18,5.55,1.76,1.19,3.8,2.27,2.14,1.84,2.62,1.56,1.06,1.17,3.96,4.97,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,5.19,1.59,2.74,2.24,1.32,0.99,1.15,3.95,1.58,1.94,5.17,1.33,3.88,2,0.91,1.74,2.78,2.03,1.52,2.9,1.76,0.25,0.87,0.8,2.98,0.04,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.4,0.31,2.55,4.74,1.98,1.47,0.98,2.64,3.28,2.56,2.83,2.93,5.15,0.4,3.23,4.94,0.97,1.39,3.5,1.44,6.4,4.06,3.01,2.23,3.02,2.5,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.54,2.82,2.67,4.78,3.7,5.73,1.69,2.81,3.43,1.19,5.57,2.02,4.59,1.1,3.92,3.16,2.75,7.51,2.73,2.22,3.23,4.66,6.51,5.57,2.6,2.09,,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.17,4.09,3.68,2.82,3.07,1.52,0.75,1.42,4.91,2.1,0.87,3.93,0.56,3.07,2.37,1.12,2.21,1.68,6.21,2.3,0.96,1.2,4.1,2.8,6.15,2.48,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.5,2.99,2.19,3.81,1.47,0.74,5.34,6.11,2.24,5.39,2.7,3.16,2.77,5.83,1.87,4.25,6.43,2.5,3.69,0.56,5.4,2.51,0.92,3.91,2.99,2.84,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
