SOUTH-CROYDON-HAREWOOD-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ332638,Long,-0.088362216,Lat,51.357664,Elevation,300,ft.,,,,,,,,,,,,,
Station no,102,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.52,0.91,2.67,2.21,4.98,0.98,2.87,1.63,2.63,1.67,,,,,,,
February,,,,,2.6,4.21,2.46,4.38,1.46,0.54,0.65,2.06,0.23,2.37,,,,,,,
March,,,,,0.91,0.7,0.6,2.56,2.4,0.06,1.69,0.34,1.89,3.08,,,,,,,
April,,,,,3.84,2.62,4.21,1.69,1.84,0.99,1.39,3.85,2.28,0.64,,,,,,,
May,,,,,2.96,1.72,1.06,1.23,2.46,1.61,3.31,2.91,4.65,2.48,,,,,,,
June,,,,,2.36,0.16,3.39,2.97,2.39,0.87,0.57,1.85,0.84,1.96,,,,,,,
July,,,,,3.63,3.46,3.2,3.02,2.16,2.12,2.02,3,2.47,1.74,,,,,,,
August,,,,,3.72,2.26,1,3.79,2.83,1.88,2.96,4.31,1.18,1.05,,,,,,,
September,,,,,3.36,2.41,2.4,5.12,0.8,0.16,3.42,1.38,1.58,2.58,,,,,,,
October,,,,,3.51,2.14,2.76,1.22,4.82,3.31,1.19,0.71,5.72,2.03,,,,,,,
November,,,,,3.4,2.59,5.55,2.65,2.26,6.07,4.15,3.01,0.99,1.41,,,,,,,
December,,,,,3.95,2.6,0.05,,2.81,6.34,2.03,0.6,0.63,0.29,,,,,,,
Total,,,,,36.76,25.78,29.35,,31.21,24.93,26.25,25.65,25.09,21.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Harewood Road at about the stated altitude.,,,,,,,,,,,,,,,,,,,,,
