TEIGNMOUTH-WOODLANDS-(MARINE-VILLA),,,,,,,,,,,,
Grid ref,SX939725,Long,-3.4986,Lat,50.5423,Elevation,18,ft,,,,
Station no,1723,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891
January,,,1.58,3.29,3.77,2.34,5.63,3.08,0.96,0.7,5.13,2.61
February,,,2.24,6.22,4.87,4.35,1.47,0.67,0.44,1.48,1.57,0
March,,,0.86,1.4,3.39,1.2,4.28,1.43,4.72,3.56,1.35,2.74
April,,,5.73,1,2.43,4.02,2.06,0.91,1.65,1.37,2.96,1.46
May,,,1.47,2.02,1.51,2.75,3.87,1.7,2.14,2.05,1.72,
June,,,3.27,3.08,1.54,1.06,1.23,0.03,2.26,0.62,1.67,
July,,,3.7,2.89,2.2,0.13,2.71,1.27,6.83,4.49,1.79,
August,,,2.11,0.43,0.67,2.04,1.7,1.01,1.73,1.86,3.06,
September,,,3.78,4.76,1.32,3.16,1.54,2.35,0.76,1.24,0.69,
October,,,7.3,2.78,0.8,5.65,4.92,3.19,1.37,4.04,0.47,
November,,,3.64,3.61,1.31,4,2.8,3.59,8.18,1.33,2.78,
December,,,3.85,0.48,2.94,2.15,6.53,2.84,3.04,2.17,4.46,
Total,,,39.53,31.96,26.75,32.85,38.74,22.07,34.08,24.91,27.65,
,,,,,,,,,,,,
,,,,,,,,,,,,
This gauge was only 300 yrds from the gauge at Den Gardens,,,,,,,,,,,,
1891 May 1st Gauge moved ¾ mile NE to Woodlands,,,,,,,,,,,,
