CHELTENHAM-MONTPELLIER-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO948220,Long,-2.0769762,Lat,51.896523,Elevation,210,ft,,,,,,,,,,,,
Station no,RR6989,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.21,2.14,4.39,1.42,,0.7,0.7,2.13,2.67,2.9,2.21,3.93,2.57,0.66,
February,,,,,,1.71,2.07,1.53,1.49,3,4.94,3.17,2.93,4.61,1.76,3.73,0.43,0.76,1.97,
March,,,,,,1.08,3.15,1.86,0.97,1.04,1.23,1.52,1.55,1.33,2.64,1.13,2.17,1.27,3.44,
April,,,,,,2.68,2.32,2.47,3.34,1.64,2.03,-999,3.31,1.05,1.38,2.55,1.93,1.74,2.31,
May,,,,,,2.3,0.99,2.37,5.54,2.92,0.97,-999,1.55,1.97,0.9,2.52,4.25,1.93,1.34,
June,,,,,,2.42,1.61,0.79,3.06,4.15,3.71,2.29,3.02,3.98,3.78,1.89,1.09,1.53,2.23,
July,,,,,,5.84,-999,3.02,2.45,-999,4.42,,3.49,3.5,2.97,0.12,3.39,1.31,5.38,
August,,,,,,1.14,-999,3.87,5.07,-999,0.44,,3.27,0.95,-999,1.6,1.5,1.84,-999,
September,,,,,,3.04,-999,2.99,2.99,-999,4.98,,3.1,3.89,-999,3.19,2.98,2.39,-999,
October,,,,,2.81,6.41,1.4,1.87,3.2,0.89,4.74,2.09,5.67,2.46,1.03,2.7,4.27,2.52,0.56,
November,,,,,2.83,4.82,3.43,3.77,2.87,1.06,2.99,3.11,3.89,3.04,1.95,3.59,2.4,2.81,5.76,
December,,,,,1.88,1.32,6.21,1.66,,0.81,2.93,3.02,2.99,0.65,2.3,0.87,4.44,1.89,2.84,
Total,,,,,,36.97,28.61,30.59,,,34.08,,36.9,30.1,24.12,26.1,32.78,22.56,29.36,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1876 Jul-Sep -999 (5.29),,,,,,,,,,,,,,,,,,,,
1879 Jul-Sep -999 (12.14)),,,,,,,,,,,,,,,,,,,,
1881 Apr-May -999 (1.53),,,,,,,,,,,,,,,,,,,,
1881 Jul-Sep no readings,,,,,,,,,,,,,,,,,,,,
1884 Aug-Sep -999 (2.51),,,,,,,,,,,,,,,,,,,,
1888 Aug-Sep -999 (2.87),,,,,,,,,,,,,,,,,,,,
