"BOLSTERSTONE WALDERSHOUGH",,,,,,,,,,,,
Grid ref,SK264967,Long,-1.603798,Lat,53.466384,,,,,,,
Station no,RR2944,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.23,2.71,1.54,2.37,2.24,,,,1.53,,,
February,5.18,1.69,1.88,1.98,5.89,,,,1.57,,,
March,1.27,2.73,1.51,4.07,2.36,,,,3.75,,,
April,1.31,1.70,3.31,1.60,2.02,,,,2.50,,,
May,1.48,1.17,3.05,3.95,1.16,,,,2.76,,,
June,3.12,0.96,1.86,1.93,0.65,,,,2.02,,,
July,2.88,4.46,1.95,2.35,1.70,,,,2.64,,,
August,6.20,0.91,4.09,4.15,2.75,,,,2.28,,,
September,0.31,0.78,1.86,4.81,1.00,,,,2.00,,,
October,2.41,1.81,3.96,8.65,0.67,,,,1.49,,,
November,2.43,4.37,3.06,1.75,2.95,,,,1.64,,,
December,4.47,4.91,2.53,1.28,2.05,,,,1.67,,,
Total,35.29,28.20,30.60,38.89,25.44,,,,25.85,,,
Calc annual,35.29,28.20,30.60,38.89,25.44,0.00,0.00,0.00,25.85,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,0.00,NaN,,
