"BOLSTERSTONE, WALDERSHAIGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK264967,Long,-1.603798,Lat,53.466384,Elevation,950,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,3.97,5.15,5.26,2.1,4.69,1.71,0.96,1.29,3.14,1.92,2.41,1.61,2.22,4.87,1.18,4.11,1,4.05,4.23,2.71,1.54,2.37,2.24,,,,1.53,
February,,,1.68,2.18,2.47,3.8,0.68,0.97,1.65,2.16,1.28,0.06,3.24,4.09,4.03,0.49,1.29,3.78,2.61,1.61,5.18,1.69,1.88,1.98,5.89,,,,1.57,
March,,,2.94,1.54,1.64,2.07,2.97,2.05,4.18,3.06,2.45,1.78,1.38,0.97,2.07,2.57,3.66,3.58,2.1,1.49,1.27,2.73,1.51,4.07,2.36,,,,3.75,
April,,,4.48,3.17,2.08,2.53,2.74,0.98,3.02,3.91,1.21,2.8,1.35,0.83,2.85,2.25,1.49,2.61,3.48,2.64,1.31,1.7,3.31,1.6,2.02,,,,2.5,
May,,,1.44,1.77,1.88,2.54,7.3,2.29,0.7,3.85,3.31,3.87,3.57,2.75,1.53,0.82,0.47,0.84,3.13,2.88,1.48,1.17,3.05,3.95,1.16,,,,2.76,
June,,,4.68,3.89,1.7,3.25,1.26,0.47,2.85,0.55,1.67,3.1,3.7,1.97,2.99,2.29,3.56,4.1,1.56,2.36,3.12,0.96,1.86,1.93,0.65,,,,2.02,
July,,,4.1,3.57,3.09,0.72,4.94,0.72,4.98,3.27,3.38,2.34,2.27,3.78,2.77,4.39,0.87,1.24,1.13,2.33,2.88,4.46,1.95,2.35,1.7,,,,2.64,
August,,4.79,1.98,1.88,1.12,1.76,2.05,1.54,3.7,2.89,3.38,3.18,2.43,2.51,2.49,1.78,1.63,2.6,3.08,1.39,6.2,0.91,4.09,4.15,2.75,,,,2.28,
September,,3.21,2.1,5.35,2.36,3.02,1.42,2.83,0.91,2.28,1.33,2.72,2.58,1.67,0.93,0.66,7.26,3.02,0.74,4.63,0.31,0.78,1.86,4.81,1,,,,2,
October,,5.33,4.77,5.21,1.92,9.09,4.93,3.22,1.07,5.66,1.68,3.68,6.9,2.07,5.09,4.56,4.12,1.28,4.49,3.24,2.41,1.81,3.96,8.65,0.67,,,,1.49,
November,,3.51,5.21,2.98,1.14,3.17,1.81,2.58,8.71,1.1,4.82,3.76,1.68,2.32,1.79,3.59,1.49,3.59,3.27,1.32,2.43,4.37,3.06,1.75,2.95,,,,1.64,
December,,4.23,4.75,2.9,4.37,1.37,5.86,2.59,2.31,1.3,1.08,5.12,0.78,3.66,2,3.53,4.36,3,3.46,3.38,4.47,4.91,2.53,1.28,2.05,,,,1.67,
Total,,,42.1,39.59,29.03,35.42,40.65,21.95,35.04,31.32,28.73,34.33,32.29,28.23,30.76,31.8,31.38,33.75,30.05,31.32,35.29,28.2,30.6,38.89,25.44,,,,25.85,
