AYR (HEATHFIELD),,,,,,,,,,,,,,,,,,,,
Grid ref,NS347241,Long,-4.6173782,Lat,55.482682,Elevation,43,ft,,,,,,,,,,,,
Station no,5220/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.09,3.42,3.59,0.82,3.13,3.67,4.71,2.15,2.5,0.44,4.78,3.56,3.62,3.75,,,,,
February,,0,2.65,0.42,3.7,1.39,3.82,1.14,3.47,1.1,1.79,1.22,3.89,1.06,4.33,,,,,
March,,2.26,2.51,2.69,1.39,1.44,0.87,2.3,2.43,4.22,2.64,1.73,1.67,0.49,,,,,,
April,,3.08,1.77,1.94,2.55,0.56,1.57,0.1,1.37,1.87,1.42,1.1,3.04,3.13,,,,,,
May,,2.61,1.92,2.89,0.61,2.25,0.94,2.36,0.62,1.25,2.68,2.04,2.96,2.36,,,,,,
June,,1.55,1.9,2.23,2.55,2.3,2.33,3.7,1.53,1.25,1.08,1.67,2.39,3.1,,,,,,
July,,2.97,3.04,1.65,0.63,5.65,5,4.32,3.78,3.63,3.19,3,1.91,2.58,,,,,,
August,,1.46,2.54,2.87,1.45,3.81,2.41,1.82,2.82,1.82,4.31,4,4.6,2.26,,,,,,
September,,4.47,0.99,3.73,4.26,3.26,1.76,3.27,1.57,5.66,1.73,3.81,1.99,3.74,,,,,,
October,,4.68,2.58,6.26,5.72,4.18,3.02,7.14,0.64,3.09,3.52,3.94,4.69,4.31,,,,,,
November,,3.11,1.46,0.49,2.91,2.76,0.29,4.92,6.04,4.22,1.87,0.81,2.07,5.87,,,,,,
December,,6.94,1.29,3.9,2.28,4.38,1.46,1.75,1.84,4.18,1.66,4.84,2.6,4.17,,,,,,
Total,,38.22,26.07,32.66,28.87,35.11,27.14,37.53,28.26,34.79,26.33,32.94,35.37,36.69,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan corrected for snow,,,,,,,,,,,,,,,,,,,,
