CHERTSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ049662,Long,-0.49393,Lat,51.385162,Elevation,42,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,241/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.43,0.77,4.23,3.79,2.41,4.35,2.59,2.57,2.97,4.08,1.64,1.63,1.54,1.77,4.1,1.4,0.78,2.65,2.02,0.98,1.06,2.61,3.69,1.36,2.11,1.96,2.07
February,,,,0.12,2.73,1.61,3.92,0.45,0.97,1.87,2.08,0.7,1.08,0.74,1.48,2.53,1.28,1.53,1.1,3.91,6.16,0.89,1.17,2.26,1.28,0.19,2.82,2.17,0.06,1.6
March,,,,2.18,0.26,1.41,3.16,0.29,0.94,2.79,3.56,1.73,0.47,0.1,0.7,1.26,4.9,0.6,1.13,0.85,3.4,3.43,0.49,1.98,0.87,0.43,1.02,1.32,2.05,1.19
April,,,,1.56,3.13,1.51,2.25,0.05,2.66,2.46,1.47,0.98,0.8,1.28,1.22,2.05,1.47,1.43,1.68,2.99,2.63,1.56,2.2,0.49,0.71,1.16,0.21,0.91,1.9,0.56
May,,,,0.59,1.56,0.65,2.27,1.72,1.58,1.26,1.73,2.89,2.25,0.87,1.88,3.07,1.33,2.3,1.9,1.81,2.28,2.24,1.31,3.19,3.27,0.11,1.15,2.63,0.56,1.81
June,,,,0.87,2.73,3.65,2.08,0.56,1.51,0.82,2.14,0.76,1.29,1.38,2.21,2.67,3.34,3.1,0.29,1.27,1.11,1.68,1.71,4.04,2.56,2.02,0.79,3.85,0.81,2.12
July,,,,2.9,1.46,2.92,0.64,1.09,2.99,3.11,3.81,1.87,2.4,1.81,4.55,2.61,3.15,1.3,1.1,3.89,1.28,0.44,3.83,1.91,0.39,4.39,3.1,1.69,3.11,2.41
August,,,,2.11,2.74,0.64,1.31,2.35,2.06,0.04,4.41,3.19,1.45,2.16,1.45,3.78,0.34,3.3,1.96,2.98,3.83,3.5,1.71,3.19,1.19,3.57,3.7,3.06,1.77,2.99
September,,,,1.38,3.43,2.44,1.73,1.39,1.02,1.04,0.33,0.78,2.29,2.14,2.35,2.79,1.07,1.36,0.78,2.83,2.16,3.78,2.04,1.9,1.37,2.96,2.49,3.62,0.41,2.39
October,,,,1.59,2.9,1.75,2.69,2.32,4.62,3.4,1.18,3.84,2.33,2.86,2.8,0.97,0.18,2.15,5.38,0.33,0.73,2.77,3.07,2.24,3.45,1.94,1.59,2.52,2.48,6.89
November,,,,2.15,5.05,2.51,1.47,2.97,4.77,6.87,2.73,1.95,1.07,3.7,0.37,4.04,1.19,2.01,2.34,5.17,6.26,3.03,1.27,3.67,1.33,0.55,2.5,2.03,2.66,3.7
December,,,,5.35,2.42,1.93,4.1,3.52,0.88,1.2,1.33,2.32,1.39,1.3,3.16,2.32,2.46,2.67,1.45,1.69,1.81,2.44,0.66,2.06,2.24,2.79,1.62,2.89,3.37,2.34
Total,,,,22.23,29.18,25.25,29.41,19.12,28.35,27.45,27.34,23.98,20.9,19.98,23.8,29.63,22.48,25.85,20.51,28.5,34.3,27.78,20.44,27.99,21.27,23.8,22.35,28.8,21.14,30.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Trees 5ft high 11ft SE will be strictly pruned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Total corrected in 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Chertsey Council Depot SRC_ID 6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
