INGLETON KINGSDALE HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD709797,Long,-2.447698,Lat,54.212202,Elevation,994,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,8.77,5.35,7.47,12.1,3.96,3.76,5.64,3.07,4.97,4.41,8.76,4.18,5.59,5.7,9.41,10.86,10.9,4.92,7.7,9.43,11.31,15.2,6.49,8.21,5.54,5.89,7.78,,,,
February,6.34,3.45,1.56,9.66,4.42,4.02,3.4,4.31,4.05,6.73,15.89,11.77,3.09,4.54,5.57,9.66,7.95,2.99,10.67,1.75,9.04,0.51,7.97,8.67,2.36,9.26,12.38,,,,
March,0.67,5.73,4.59,7.46,3.62,4.25,5.49,4.69,7.07,5.72,1.71,5.02,12.35,9.89,8.42,4.69,5.11,4.29,4.68,9.01,7.74,8.89,4.63,2.57,2.16,2.22,4.5,,,,
April,6.2,4.71,2.13,3.38,4.39,5.47,2.01,3.41,3.01,8.18,4.1,7.35,3.53,6.73,1.71,4.74,6.93,4.42,0.25,3.94,9.12,2.38,3.4,4.23,3.29,6.54,2.81,,,,
May,3.03,1.5,3.61,2.47,3.58,1.87,8.11,3.57,4.83,4.13,2.67,3.49,4.06,3.78,5.58,1.73,5.77,3.03,2.98,2.83,9.24,4.08,3.97,8.64,10.1,5.33,3.39,,,,
June,4.65,3.88,1.22,2.56,2.88,3.16,2.04,9.37,6.21,4.01,3.57,5.24,11.15,4.42,2.14,1.09,3.88,4.26,3.98,2.25,2.81,1.29,5.99,2.34,6.55,0.51,4.18,,,,
July,3.82,2.35,5.19,8.46,2.58,4.61,5.34,5.01,7.68,15.99,7.51,1.66,6.76,1.65,5.43,7.96,6.06,4.23,8.01,2.59,11.53,2.1,6.81,8.65,7.37,3.26,6.03,,,,
August,6.28,7.24,2.92,9.78,4.95,6.88,8.3,6.53,7.04,9.39,12.96,5.73,9.27,4.15,7.53,,6.26,14.74,8.68,6.51,6.11,11.39,8.05,10.24,9,7.15,5.69,,,,
September,5.03,2.4,2.98,6.18,2.4,4.38,2.65,1.5,9.54,4.88,1,4.75,3.68,3.04,2.67,6.99,4.63,8.65,10.8,7.78,3.42,4.05,7.42,9.04,8.14,5.36,2.93,,,,
October,12.64,6.44,5.9,9.72,2.49,5.1,8.27,5.3,2.07,12.89,4.62,7.85,8.21,3.62,3.16,1.19,15.27,8.63,9.78,4.29,2.19,6.04,2.02,11.67,8.27,8.55,3.59,,,,
November,6.88,9.69,2.95,3.44,6.08,4.09,7.17,4.7,5.75,5.85,4.56,8.56,10.67,9.02,14.55,2.57,7.23,9.9,4.69,5.4,5.36,2.04,4.76,13.23,8.63,1.9,7.4,,,,
December,10.78,7.94,5.96,4.15,5.07,3.43,6.02,7.13,6.57,13.19,8.82,12.22,10.07,6.01,8.51,10.74,6.45,5.36,11.46,10.2,7.39,14.24,11.16,8.75,10.4,7.68,1.15,,,,
Total,75.09,60.68,46.48,79.36,46.42,51.02,64.44,58.59,68.79,95.37,76.17,77.82,88.43,62.55,74.68,62.22,86.44,75.42,83.68,65.98,85.26,72.21,72.67,96.24,81.81,63.65,61.83,,,,
