KIRKBY LONSDALE (LOCK HALL),,,,,,,,,,
Grid ref,SD651767,Long,-2.5362782,Lat,54.184878,Elevation,498,ft,,
Station no,RR8710,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,2.5,3.9,4.75
February,,,,,,,,4.4,4.4,6.95
March,,,,,,,,2.4,6.51,1.4
April,,,,,,,,5.37,2.4,3.05
May,,,,,,,,3.2,2.35,1.4
June,,,,,,,,2.38,0.68,2.3
July,,,,,,,,3,0.83,2.4
August,,,,,,,,4,4.53,4.63
September,,,,,,,,2.92,0.7,9.1
October,,,,,,,,2.9,4.95,8.63
November,,,,,,,,2.2,1.86,6.2
December,,,,,,,,3.45,8.63,5.38
Total,,,,,,,,38.72,41.74,56.19
