"FAREHAM WWKS, MAINDELL",,,,,,,,,,,,
Grid ref,SU589071,Long,-1.164501,Lat,50.860419,,,,,,,
Station no,686/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.85,2.47,1.37,2.12,4.05,5.31,2.48,4.83,3.24,4.64,,
February,5.92,0.70,1.41,3.45,2.00,0.20,4.00,2.79,0.11,3.21,,
March,4.63,2.64,0.71,3.71,1.25,0.46,2.05,1.51,2.51,1.79,,
April,2.84,1.71,1.47,0.49,0.58,2.37,0.13,0.71,2.65,0.95,,
May,2.32,2.42,2.89,2.43,4.50,0.36,1.06,2.58,0.26,1.17,,
June,1.65,1.58,2.67,3.61,3.01,2.20,1.20,2.58,0.68,2.53,,
July,3.45,0.41,3.52,3.34,1.22,2.14,4.01,1.86,1.75,5.19,,
August,5.75,2.82,2.07,4.52,0.90,3.24,2.55,4.36,3.28,4.52,,
September,3.69,4.68,2.91,3.22,2.17,3.73,3.35,4.71,0.17,5.22,,
October,1.62,4.42,3.66,3.06,4.61,1.70,2.08,3.31,3.29,7.48,,
November,8.53,4.56,1.99,5.63,2.81,0.70,3.42,3.18,3.93,7.68,,
December,3.47,2.78,0.86,3.20,4.32,5.24,2.25,3.83,7.27,4.71,,
Total,47.72,31.19,25.53,38.78,31.42,27.65,28.58,36.25,29.14,49.09,,
Calc annual,47.72,31.19,25.53,38.78,31.42,27.65,28.58,36.25,29.14,49.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
