"MAIDSTONE (ALLINGTON LOCK)",,,,,,,,,,,,
Grid ref,TQ746582,Long,0.502948,Lat,51.296156,,,,,,,
Station no,364,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,2.01,0.97,1.65,3.47,4.20,1.81,2.42,2.06,2.69,,
February,5.34,0.78,1.20,2.05,1.77,0.57,3.48,2.27,0.07,1.83,,
March,3.20,3.45,0.17,2.14,1.11,0.54,0.93,1.05,1.67,1.67,,
April,2.43,0.85,2.04,0.31,0.22,0.93,0.20,1.43,2.32,0.62,,
May,1.71,0.94,1.93,1.80,3.45,0.40,1.53,1.87,0.77,2.00,,
June,1.20,0.89,1.66,3.17,2.46,1.94,1.08,3.51,0.70,0.96,,
July,2.80,0.58,2.46,2.21,3.08,3.59,2.54,1.19,1.81,3.66,,
August,3.25,2.70,1.64,3.05,0.96,2.55,2.07,4.64,0.59,3.77,,
September,3.57,2.50,2.85,1.37,2.64,2.34,2.32,3.11,0.12,3.25,,
October,0.99,2.21,2.77,1.65,4.11,1.02,1.12,2.80,2.55,6.43,,
November,4.14,4.71,1.31,5.11,0.88,0.94,3.34,1.51,3.46,4.82,,
December,2.14,2.57,0.77,1.61,1.91,2.77,3.07,3.65,4.81,2.95,,
Total,33.06,24.19,19.77,26.12,26.06,21.79,23.49,29.45,20.93,34.65,,
Calc annual,33.06,24.19,19.77,26.12,26.06,21.79,23.49,29.45,20.93,34.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
