"ELLESMERE (SHERATON HOUSE)",,,,,,,,,,,,
Grid ref,SJ403345,Long,-2.889053,Lat,52.904603,,,,,,,
Station no,RR2014,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,3.16,0.82,3.21,3.50,4.81,1.92,,,,,
February,2.25,0.56,1.71,2.83,2.14,0.90,3.06,,,,,
March,4.92,1.29,0.91,2.39,3.22,1.26,2.24,,,,,
April,1.68,2.30,2.99,0.44,1.23,2.29,0.32,,,,,
May,3.60,2.21,2.19,2.94,4.31,0.61,1.72,,,,,
June,1.15,1.97,2.33,3.43,3.36,1.56,1.57,,,,,
July,2.09,1.91,3.07,2.60,0.38,3.09,5.25,,,,,
August,3.54,1.53,2.58,4.04,0.84,-999.00,5.32,,,,,
September,1.94,2.15,3.38,2.98,1.42,2.81,6.83,,,,,
October,0.78,5.58,1.20,6.10,1.84,1.95,1.96,,,,,
November,6.92,2.56,2.15,7.15,1.87,1.10,2.07,,,,,
December,3.68,3.07,1.18,3.15,3.68,3.54,1.02,,,,,
Total,34.87,28.29,24.51,41.26,27.79,29.23,33.28,,,,,
Calc annual,34.87,28.29,24.51,41.26,27.79,23.92,33.28,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,5.31,-0.00,NaN,NaN,NaN,,
