ELLESMERE-THE-SEVEN-SISTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ395370,Long,-2.901412,Lat,52.926984,Elevation,300,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2264/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.47,1.65,2.54,1.52,1.82,0.95,3.34,2.41,2.79,4.94,2.59,3.84,2.71,3.79,2.94,2.33,2.56,,,,
February,,,,,,,,,,,0.96,1.96,0.08,1.95,0.23,3.01,2.22,3.53,0.42,1.86,3.11,3.03,1.23,1.12,1.34,1.79,2.93,,,,
March,,,,,,,,,,,2.94,0.32,1.83,1.86,1.62,0.68,2.7,1.53,0.5,2.13,2.58,2.85,2.1,0.94,0.76,1.19,,,,,
April,,,,,,,,,,,3.2,3.17,3.69,0.86,2.39,2.05,2,1.88,0.2,1.92,2.62,1.09,1.36,1.33,1.1,0.93,,,,,
May,,,,,,,,,,,2.55,3.87,4.64,1.01,1.15,1.42,1.24,1.95,2.13,1.44,1.92,2.51,4.31,2.63,2.53,3.11,,,,,
June,,,,,,,,,,,0.58,4.64,0.58,1.36,0.95,3.09,3.7,0.97,2.48,2.2,1.33,1.12,0.14,1.72,1.28,2.21,,,,,
July,,,,,,,,,,,3.25,2.38,4.83,1.31,1.82,0.63,2.72,2.03,2.49,6.49,3.15,2.07,2.32,1.91,1.83,2.18,,,,,
August,,,,,,,,,,,2.13,5.2,1.87,0.89,2.19,1.07,0.62,1.67,5.61,2.4,0.17,2.9,4,2.07,2.57,2.93,,,,,
September,,,,,,,,,,,3.77,3.5,1.75,0.88,1.31,3.77,2.84,1.28,0.92,1,2.18,0.66,1.45,3.02,3.1,1.17,,,,,
October,,,,,,,,,,,3.64,0.93,4.15,4.22,2.46,3.92,1.1,3.31,3.56,2.82,3.97,2.41,1.17,3.65,3.53,3.63,,,,,
November,,,,,,,,,,,2.89,4.87,1.99,1.02,1.79,4.37,2.72,1.71,3.34,4.3,6.74,2.15,0.92,1.69,4.34,0.34,,,,,
December,,,,,,,,,,,3.9,1.17,1.36,0.64,4.11,2.82,3.23,3.11,2.21,1.84,1.36,1.63,3.57,1.26,1.44,2.73,,,,,
Total,,,,,,,,,,,34.28,33.66,29.31,17.52,21.84,27.78,28.43,25.38,26.65,33.34,31.72,26.26,25.28,25.13,26.76,24.54,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One reading in each of the 1930s and 1940 duplicates the same readings in Ellesmere College, which is to be expected, therefore not suspicious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
