"OUNDLE SCHOOL",,,,,,,,,,,,
Grid ref,TL039882,Long,-0.471484,Lat,52.481842,,,,,,,
Station no,1136,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.63,1.72,0.59,3.46,,0.92,1.04,,
February,,,,0.46,2.49,0.47,1.24,1.09,0.98,0.35,,
March,,,,2.78,1.25,1.81,1.19,0.97,2.46,,,
April,,,,1.37,0.69,1.45,,,2.07,,,
May,,,,2.03,1.37,1.00,1.46,4.44,1.48,1.77,,
June,,,,2.48,0.68,3.03,3.16,1.36,0.95,2.75,,
July,,,,3.02,2.61,0.58,1.12,2.24,2.60,,,
August,,,,3.84,2.25,3.14,1.50,,2.26,,,
September,,,,2.53,1.76,1.80,0.99,,1.41,,,
October,,,,5.86,0.71,1.27,3.45,,1.49,,,
November,,,,1.95,1.04,2.22,4.03,,0.66,,,
December,,,,0.98,2.24,0.61,,,0.89,,,
Total,,,,28.93,18.81,17.97,,,18.17,,,
Calc annual,0.00,0.00,0.00,28.93,18.81,17.97,21.60,10.10,18.17,5.91,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,0.00,NaN,,
