WALTON-ON-THAMES-HERSHAM-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ109642,Long,-0.40836525,Lat,51.366046,Elevation,55,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.78,4.61,0.98,2.59,0.36,1.06,1.15,1.96,2.37,1.56,3.63,1.57,0.98,1.08,2.53,2,0.36,1.45,,,,,,
February,,,,,,,1.89,1.6,1.09,2.98,2.13,2.49,1.38,3.25,1.14,2.46,0.36,0.52,1.08,2.3,0.97,0.03,1.13,2.77,,,,,,
March,,,,,,,2.7,2.16,1.1,0.5,0.44,1.62,0.84,0.93,1.12,1.53,1.34,1.61,2.82,1.72,1.56,2.09,0.92,0.41,,,,,,
April,,,,,,,1.71,2.66,3.53,3.18,1.91,0.45,2.7,1.57,1.24,1.34,1.5,1.51,1.71,2.38,1.71,0.85,0.87,0.02,,,,,,
May,,,,,,,0.69,2.51,3.5,3.87,0.29,1.21,1.08,2.06,0.58,2.77,3.9,1.4,1.07,2.98,1.54,2.89,1.23,0.85,,,,,,
June,,,,,,,1.42,0.64,2.57,3.92,2.41,1.78,1.96,1.57,1.76,1.62,0.92,1.2,2.91,0.7,2.65,1.32,2.84,1.1,,,,,,
July,,,,,,,0.86,2.96,1.43,3.24,4.42,2.27,2.31,2.35,1.76,0.25,1.93,0.95,5.33,2.16,4.21,3.17,2.22,1.74,,,,,,
August,,,,,,,2.1,2.49,4.44,4.52,0.6,4.93,1.32,0.76,1.34,1.18,0.56,1.9,2.19,1.98,1.74,4.62,3.36,1.2,,,,,,
September,,,,,,,2.55,0.94,0.91,2.89,4.99,2.07,2.44,2.14,1.86,4.22,1.63,1.87,1.1,1.28,0.44,1.08,2.66,1.15,,,,,,
October,,,,,,,1.5,1.81,2.25,0.77,6.03,2.01,4.93,2.06,1.1,3.05,2.14,1.55,1.47,3.33,1.09,6.09,3.41,3.77,,,,,,
November,,,,,,,2.77,4.19,2.67,0.77,1.8,2.52,2.33,2.58,1.24,2.52,2.61,3.77,3.68,0.72,1.75,2.4,2.81,,,,,,,
December,,,,,,,5.26,1.31,1.27,0.77,2.94,2.33,2.02,0.54,2.12,1.16,3.82,1.53,1.26,1.44,0.78,2.98,1.31,,,,,,,
Total,,,,,,,24.23,27.88,25.74,30,28.32,24.74,24.46,21.77,17.63,23.66,24.34,19.38,25.6,22.07,20.97,29.52,23.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Woodside. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 2 other gauges in the 1870s and 5 other gauges in the 1880s covering up to 3 years each, all overlapping the main gauge and in some cases each other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some of these gauges are mounted at high level, 50 ft. assumed to be a roof, and some are different diameters. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apart from the main gauge, it is not obvious which , if any, of the other gauges are the same for the different decades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These separate gauges are assumed to be at the same location and have not been concatenated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
