"HERSHAM, WALTON ON THAMES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8287,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.31,0.46,,,,,,,,,,
February,1.88,2.13,,,,,,,,,,
March,0.36,1.50,,,,,,,,,,
April,1.95,0.41,,,,,,,,,,
May,0.27,1.13,,,,,,,,,,
June,2.24,1.79,,,,,,,,,,
July,4.68,2.28,,,,,,,,,,
August,0.59,5.12,,,,,,,,,,
September,5.00,1.98,,,,,,,,,,
October,5.22,1.88,,,,,,,,,,
November,1.46,2.17,,,,,,,,,,
December,2.87,2.03,,,,,,,,,,
Total,26.83,22.88,,,,,,,,,,
Calc annual,26.83,22.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
