PEASEMORE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU461770,Long,-1.3374089,Lat,51.490075,Elevation,490,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,805/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.62,1.77,1.9,0.47,3.72,4.04,2.44,4.4,2.6,2.42,2.78,4.51,1.35,1.43,1.64,-999,5.48,0.99,0.51,2.56,1.57,1.02,1.47,3,4.05,1.42,3.42,2.85,3.34
February,,0.09,4.28,0.22,2.23,2.1,3.77,0.46,0.97,2.91,1.91,0.66,0.66,0.73,1.69,2,-999,0.82,0.94,4.03,5.16,0.94,1.86,2.15,1.43,0.35,2.65,3.1,0.37,2
March,,1.48,2.51,2.04,0.54,1.87,3.59,0.3,1.51,2.36,2.7,1.41,0.57,0.27,0.66,1.01,4.81,0.72,1.62,0.74,3.97,2.39,0.48,1.94,1.36,0.69,1.69,1.17,2.98,1.45
April,3.28,2.65,1.26,1.75,3.58,1.38,2.37,0.04,2.69,1.22,1.43,1.09,0.55,1.16,0.71,1.86,1.19,1.86,1.4,2.07,2.57,1.61,2.56,0.34,0.35,1.73,0.61,0.96,1.98,0.65
May,3.21,5.85,1.23,0.8,0.97,0.52,3.41,2.14,1.51,1.13,1.61,3.43,2.19,0.73,1.93,2.98,1.83,4.31,1.94,2.26,2.82,2.95,1.98,2.43,4.3,0.27,1.85,2.05,1.25,1.94
June,2.66,0.86,1.27,1.63,3.25,2.54,2,0.59,1.55,1.16,1.53,0.26,1.01,2.33,2.48,2.36,1.28,2.27,0.38,1.48,0.87,1.34,1.75,3.96,2.45,2,2.62,4.09,0.99,1.95
July,4.7,3.3,2.19,1.08,1.58,3.41,1.47,1.43,5.51,2.52,2.35,1.84,1.72,2.01,1.4,0.81,3.33,0.97,3.48,4.55,1.47,0.43,3.14,2.53,0.24,2.19,2.74,4.11,2.43,2.87
August,4.1,1.23,0.53,2.21,2.22,0.61,0.31,1.9,1.61,0.21,2.74,2.8,1.62,1.07,1.85,3.76,0.33,3.73,1.19,3.79,3.37,3.41,2.14,3.89,0.52,4.14,3.38,3.74,2.01,3.06
September,2.7,2.36,3.2,1.5,4.23,2.69,2.4,1.16,1.09,1.03,0.47,1.46,1.3,2.44,1.88,3.56,1.27,2.37,2.69,3.33,4.55,1.59,2.4,2.28,1.22,3.13,3.9,3.89,0.05,3.48
October,0.68,3.52,1.58,1.43,3.8,2.04,2.99,1.67,4.29,3.04,1.59,3.47,3.1,3.94,3.22,1.37,0.33,2.3,6.75,0.82,0.78,3.09,2.77,1.87,2.3,1.8,2.15,3.05,1.83,6.65
November,1.89,1.06,0.66,2,4.25,3.23,1.19,3.38,4.25,7.03,2.67,1.71,1.39,4.4,,4.43,0.97,1.39,2.99,5.1,5.2,3.01,1.23,4.62,1.48,0.8,2.11,2.07,2.47,3.86
December,0.85,0.87,0.32,5.41,2.96,2.49,1.9,3.07,1.05,1.14,1.1,2.91,1.56,1.42,3.45,2.07,2.34,3.15,1.13,1.21,2.08,2.61,0.81,2.68,2.57,2.89,3.14,2.38,4.96,4.39
Total,,24.89,20.8,21.97,30.08,26.6,29.44,18.58,30.43,26.35,22.52,23.82,20.18,21.85,,27.85,21.51,29.37,25.5,29.89,35.4,24.94,22.14,30.16,21.22,24.04,28.26,34.03,24.17,35.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is in Peasemore. The 490 ft. altitude quoted matches, 400 ft. also quoted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 1947 is noted as being estimated for snow and has been left in this record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
