"PEASEMORE HOUSE",,,,,,,,,,,,
Grid ref,SU461770,Long,-1.337409,Lat,51.490075,,,,,,,
Station no,805/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,1.57,1.02,1.47,3.00,4.05,1.42,3.42,2.85,3.34,,
February,5.16,0.94,1.86,2.15,1.43,0.35,2.65,3.10,0.37,2.00,,
March,3.97,2.39,0.48,1.94,1.36,0.69,1.69,1.17,2.98,1.45,,
April,2.57,1.61,2.56,0.34,0.35,1.73,0.61,0.96,1.98,0.65,,
May,2.82,2.95,1.98,2.43,4.30,0.27,1.85,2.05,1.25,1.94,,
June,0.87,1.34,1.75,3.96,2.45,2.00,2.62,4.09,0.99,1.95,,
July,1.47,0.43,3.14,2.53,0.24,2.19,2.74,4.11,2.43,2.87,,
August,3.37,3.41,2.14,3.89,0.52,4.14,3.38,3.74,2.01,3.06,,
September,4.55,1.59,2.40,2.28,1.22,3.13,3.90,3.89,0.05,3.48,,
October,0.78,3.09,2.77,1.87,2.30,1.80,2.15,3.05,1.83,6.65,,
November,5.20,3.01,1.23,4.62,1.48,0.80,2.11,2.07,2.47,3.86,,
December,2.08,2.61,0.81,2.68,2.57,2.89,3.14,2.38,4.96,4.39,,
Total,35.40,24.94,22.14,30.16,21.22,24.04,28.26,34.03,24.17,35.64,,
Calc annual,35.40,24.94,22.14,30.16,21.22,24.04,28.26,34.03,24.17,35.64,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
