"WOKING, THE GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,217,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.60,2.39,3.00,1.50,2.61,2.02,3.21,2.13,3.40,1.38,3.79,
February,0.40,0.47,2.46,3.80,0.51,3.79,2.07,4.38,1.82,0.60,-999.00,
March,1.60,1.22,1.97,3.20,1.03,0.77,0.58,3.10,2.24,0.02,1.45,
April,3.70,0.91,3.04,1.80,3.40,2.58,3.33,1.88,2.31,0.95,2.02,
May,0.70,1.47,0.90,2.80,3.56,2.36,1.55,1.17,2.38,1.81,2.79,
June,1.40,0.13,1.20,0.40,3.25,0.04,3.14,3.47,2.46,1.62,0.98,
July,4.80,0.55,2.99,1.90,3.91,3.89,1.91,2.46,2.41,1.30,2.38,
August,1.60,0.67,3.07,1.60,3.51,3.52,1.54,3.66,2.82,2.62,3.06,
September,2.40,1.33,1.70,1.60,4.12,2.77,0.88,4.98,1.42,0.20,3.44,
October,1.60,0.90,0.87,6.30,3.90,3.06,2.21,1.70,5.93,3.19,1.26,
November,1.00,1.88,1.71,1.80,2.54,1.84,4.97,3.36,1.86,5.73,4.71,
December,2.20,1.40,3.99,2.50,3.36,3.04,0.43,4.53,2.50,5.64,2.23,
Total,24.00,13.32,26.90,29.20,35.70,29.68,25.82,36.82,31.55,25.06,28.98,
Calc annual,24.00,13.32,26.90,29.20,35.70,29.68,25.82,36.82,31.55,25.06,28.11,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.87,
