"WELBECK ABBEY",,,,,,,,,,,,
Grid ref,SK561747,Long,-1.160354,Lat,53.266336,,,,,,,
Station no,2630,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,1.72,0.57,1.25,2.36,,,,,,,
February,3.38,0.27,1.95,2.45,2.71,,,,,,,
March,3.01,2.02,1.24,1.85,2.77,,,,,,,
April,0.95,0.96,2.03,0.32,0.84,,,,,,,
May,3.18,1.92,1.75,2.86,3.33,,,,,,,
June,0.76,2.22,1.17,2.50,2.28,,,,,,,
July,0.44,0.80,1.88,1.72,1.46,,,,,,,
August,4.33,1.13,1.36,4.82,0.24,,,,,,,
September,1.76,2.12,1.40,2.04,0.63,,,,,,,
October,0.78,3.13,1.63,2.93,1.92,,,,,,,
November,6.09,1.50,1.19,4.63,1.94,,,,,,,
December,1.64,1.50,0.87,2.31,2.19,,,,,,,
Total,28.16,19.29,17.04,29.68,22.67,,,,,,,
Calc annual,28.16,19.29,17.04,29.68,22.67,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
