MAIDEN-NEWTON-CHALMINGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST595008,Long,-2.57601,Lat,50.80543,Elevation,468,ft,,,,,,,,,,,,
Station no,1604/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,7.29,2.17,5.46,4.97,8.78,3.27,3.02,4.7,,,,
February,,,,,,,,,3.05,5.24,5.49,0.3,1.5,0.55,3.2,3.28,,,,
March,,,,,,,,0.36,1.74,3.96,5.27,3.12,1.18,0.33,1.86,1.75,,,,
April,,,,,,,,0.07,2.55,2.07,2.48,2.38,1.09,2.23,0.86,2.79,,,,
May,,,,,,,,2.48,0.91,2.68,3.14,5.32,3.45,1,3.12,3.68,,,,
June,,,,,,,,0.31,3.29,0.41,1.87,0.42,1.19,3.23,4.27,4.17,,,,
July,,,,,,,,3.6,6.77,3.42,2.04,2.25,3.3,3.87,2.47,1.03,,,,
August,,,,,,,,5.2,3.31,0.05,3.88,6.14,4.55,3.41,2.7,5.9,,,,
September,,,,,,,,1.55,1.05,2.32,0.79,3.22,3.24,1.88,4.15,6.67,,,,
October,,,,,,,,4.98,6.49,6.55,1.99,3.97,5.55,5.53,4.96,1.77,,,,
November,,,,,,,,7.41,8.36,10.37,3.39,1.9,2.52,7.9,1.83,8.12,,,,
December,,,,,,,,5.4,3,3.28,3.41,7.64,3.87,3.37,6.12,6.21,,,,
Total,,,,,,,,,47.81,42.52,39.21,41.63,40.22,36.57,38.56,50.07,,,,
,,,,,,,,,,,,,,,,,,,,
Chalmington House,,,,,,,,,,,,,,,,,,,,
Huge grounds Kitchen garden too low House too far from church Pump house too high ,,,,,,,,,,,,,,,,,,,,
NGR matches grid ref on sheet and elevation and is between house and pump house,,,,,,,,,,,,,,,,,,,,
1940 Total and monthly values do not match,,,,,,,,,,,,,,,,,,,,
1940 Jan value appears to have been altered,,,,,,,,,,,,,,,,,,,,
1940 Total matches annual value in BR,,,,,,,,,,,,,,,,,,,,
1940 Either Jan should be 1.68 or if new value is correct total should have been amended to total given,,,,,,,,,,,,,,,,,,,,
1950 Letter says Our records are not sufficiently accurate for sending Station terminated,,,,,,,,,,,,,,,,,,,,
