WARRENPOINT THE MANOR HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ154186,Long,-6.235342612,Lat,54.103686,Elevation,40,ft,,,,,,,,,,,,
Station no,RR4532,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.98,2.76,2.26,2.78,1.84,5.46,,,,,,,
February,,,,,,,,1.75,1.84,1.64,5.97,3.68,5.24,,,,,,,
March,,,,,,,,2.25,4.73,3.23,2.13,1.45,6.65,,,,,,,
April,,,,,,,,2.79,3.15,4.37,1.9,2.5,,,,,,,,
May,,,,,,,,4.27,2.36,2.23,2.4,2.54,,,,,,,,
June,,,,,,,,4.42,1.71,2.2,4.23,2.72,,,,,,,,
July,,,,,,,,1.73,4.33,3.17,3.85,3.18,,,,,,,,
August,,,,,,,,3.36,2.78,1.63,5.23,1.7,,,,,,,,
September,,,,,,,,1.12,5.09,2.81,0.86,1.8,,,,,,,,
October,,,,,,,,5.52,3.1,5.22,2.19,5.78,,,,,,,,
November,,,,,,,,2.82,2.56,1.02,2.63,4.97,,,,,,,,
December,,,,,,,,4.07,4.51,4.87,5.41,8.05,,,,,,,,
Total,,,,,,,,35.08,38.92,34.65,39.58,40.21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 1100 yards east April 1912 therefore second csv file,,,,,,,,,,,,,,,,,,,,
Gauge location based solely on directions from church,,,,,,,,,,,,,,,,,,,,
