EDENBRIDGE-CROCKHAM-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ445514,Long,0.068803138,Lat,51.24348,Elevation,705,ft,,,,,,,,,,,,
Station no,RR8318,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.44,1.42,1.69,1.11,2.76,1.6,,,,3.75,,,,
February,,,,,,,2.38,1.57,1.46,0.4,3.61,1.79,,,,4.52,,,,
March,,,,,,,2.04,1.14,2.81,3.39,1.5,2.37,,,,0.8,,,,
April,,,,,,,0.66,3.07,2.98,1.58,1.83,2.79,,,,1.47,,,,
May,,,,,,,1.92,1.69,2.27,1.56,2.71,1.52,1.03,,,3.33,,,,
June,,,,,,4.45,1.94,2.22,1.71,3.37,1.44,2.42,2.41,,,0.56,,,,
July,,,,,,0.82,-999,0.9,3.99,3.53,3.27,0.5,1.44,,,4.73,,,,
August,,,,,,2.58,-999,2.93,4.6,1.6,2.25,0.59,6.81,,,2.69,,,,
September,,,,,,2.14,-999,0.51,2.11,4.14,0.98,1.34,3.08,,,2.36,,,,
October,,,,,,1.22,3.87,3.89,1.85,6.16,2.83,4.6,,,,1.72,,,,
November,,,,,,4.3,5.45,2.42,1.1,1.28,3.73,,,,,3.48,,,,
December,,,,,,0.55,2.41,2.87,2.93,3.99,4.28,,,,,7.4,,,,
Total,,,,,,,29.86,24.63,29.5,32.11,31.19,,,,,36.81,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Aug-Oct bracketed -999 (3.75),,,,,,,,,,,,,,,,,,,,
