DARWEN (HIGHER HILL) RIVINGTON - new gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SD640130,Long,-2.5456192,Lat,53.612305,Elevation,733,ft,,,,,,,,,,,,
Station no,RR1306,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.69,4.62,2.43,1.49,4.74,5.71,,,,,,,
February,,,,,,,,1.52,3.86,2.45,4.72,2.18,2.71,,,,,,,
March,,,,,,,,1.29,2.08,2.54,3.53,3.27,1.09,,,,,,,
April,,,,,,,,0.53,2.94,2.81,1.32,2.11,2.21,,,,,,,
May,,,,,,,,4.29,1.85,0.92,2.41,3.3,3.27,,,,,,,
June,,,,,,,,4.59,3.33,0.83,0.53,0.99,3.37,,,,,,,
July,,,,,,,,4.39,6.14,5.45,2.84,5.21,2.64,,,,,,,
August,,,,,,,,3.07,2.9,2.48,6.11,5.02,6.35,,,,,,,
September,,,,,,,,2.21,1.58,4.32,1.29,3.37,4.49,,,,,,,
October,,,,,,,,7.92,2.08,4.42,4.46,6.8,3.83,,,,,,,
November,,,,,,,,5.71,6.53,6.27,2.84,1.16,3.23,,,,,,,
December,,,,,,,,4.72,2.67,4.19,2.67,3.99,2.38,,,,,,,
Total,,,,,,,,44.93,40.58,39.11,34.21,42.14,41.28,,,,,,,
