RIVINGTON HIGHER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD640130,Long,-2.5456192,Lat,53.612305,Elevation,733,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,2.18,3.3,2.9,3.1,1.65,4.98,1.09,2.51,1.89,3.63,1.49,3.27,3.76,2.6,5.22,2.83,2.44,2.64,4.48,3.53,6.2,3.17,3.49,3,2.76,4.32,3.53,9.47,1.78,5.91,4.32,4.46,2.84,3.3,2.18,4.39,3.07,4.69,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,1.22,1.95,3.07,3.6,1.45,2.77,1.19,2.34,1.51,3.2,3.76,1.81,1.28,2.73,6.03,3.53,0.95,4.35,1.05,2.97,0.26,4.32,6.89,0.89,6.51,4.09,1.72,3.86,1.06,0.33,4.13,0.13,3.14,0.3,5.08,2.97,5.08,1.52,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,3.2,2.57,4.13,2.34,3.14,2.97,2.64,2.65,2.31,0.86,1.65,5.68,4.7,4.19,1.58,2,2.21,1.65,4.61,3.99,2.83,2.24,1.97,1.67,1.84,1.32,4.58,3.23,1.34,2.81,0.92,2.71,2.84,2.44,1.09,2.87,2.38,1.29,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.31,2.81,1.49,2.64,2.34,1.95,1.65,1.78,4.29,2.81,2.94,0.66,5.11,1.35,1.94,3.7,1.73,1.18,2.38,5.31,1.94,2.8,3.66,1.81,2.55,1.54,2.77,1.28,1.16,2.44,3.33,2.87,1.65,3.3,3.07,1.09,3.4,0.53,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.06,3.27,3.83,2.08,0.96,3.83,3.56,3.33,2.54,3.73,2,2.29,3.66,1.83,1.52,2.33,2.18,1.98,1.67,6.57,2.5,2,3.96,5.44,4.05,3.3,1.35,1.42,2.97,1.65,2.31,4.46,2.05,3.66,1.58,0.83,2.41,4.29,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.05,1.61,1.62,2.15,2.54,1.82,7.36,1.85,3.66,3.04,3.63,6.24,2.73,2.13,2.11,3.74,2.44,2.37,2.07,3.23,0.75,3.23,1.15,3.13,0.26,2.6,4.32,5.74,1.52,2.71,6.04,0.99,2.28,1.78,2.74,3.83,1.72,4.59,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.14,3.83,3.73,1.65,2.67,1.91,3.46,4.62,4.85,6,0.43,5.91,1.59,4.48,3.83,2.9,1.94,3.36,1.91,5.81,2.14,5.48,4.62,4.95,2.66,3.33,3.86,2.41,3.76,6.24,3.84,3.96,3,1.75,1.98,4.49,1.88,4.39,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,2.51,2.74,5.05,4.95,4.46,2.97,4.26,3.36,4.36,5.64,3.59,6.43,2.35,2.67,5.24,4.56,6.2,4.15,4.06,2.6,6.23,5.37,5.9,6.9,4.01,3.63,6.01,6.7,5.05,8.68,5.71,1.68,3.04,4.98,1.65,3,3.23,3.07,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,0.86,2.21,5.18,1.15,2.28,1.22,1.06,4.32,2.71,0.46,4.39,2.01,1.94,3.73,0.82,2.91,2.14,11.58,2.17,2.97,2.04,4.39,4.62,4.52,4.11,4.69,6.73,1.32,1.96,3.07,4.13,5.61,1.22,3.3,7.53,3.73,1.75,2.21,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,3.4,3.93,8.32,2.67,3.33,6.47,2.94,1.52,4.87,3.3,3,4.69,1.98,2.5,1.81,7.01,7.82,3.59,3.13,1.4,2.73,0.56,6.14,4.25,4.97,3.17,3.76,5.61,6.63,5.41,2.74,7.46,4.39,5.71,7.53,3.99,2.38,7.92,,
