"BRACKNELL (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SU858718,Long,-0.766976,Lat,51.438708,,,,,,,
Station no,778/5/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.02,,
February,,,,,,,,,,2.04,,
March,,,,,,,,,,1.46,,
April,,,,,,,,,,0.56,,
May,,,,,,,,,,2.09,,
June,,,,,,,,,,1.74,,
July,,,,,,,,,,2.69,,
August,,,,,,,,,,3.31,,
September,,,,,,,,,,2.82,,
October,,,,,,,,,,6.85,,
November,,,,,,,,,,3.62,,
December,,,,,,,,,,2.63,,
Total,,,,,,,,,,32.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.83,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
