DUNDEE (CAMPERDOWN WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO382314,Long,-3.004713,Lat,56.470657,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.28,2.24,1.86,1.61,0.7,2.16,0.42,1.28,1.17,2.31,2.56,0.69,1.38,0.54,3.34,2.88,1.2,0.57,2.64,1.07,0.21,1.72,0.95,1.57,1.41,1.37,0.43,2.76,5.1,1.72,2.34,1.87,1.6,2.48,2.87,2.66,2.69,4.4,1.56,3.08,2.15,5.11,1.91,4.74,1.69,1.96,1.9,1.97,1.51,1.71,1.28,5.09,3.96,4.14,3.91,1.71,3.26,4.14,3.38,1.28,3.72,2.12,3.59,4.65,1.66,1.87,3.05,1.67,0.45,1.37,1.25,2.57,2.67,1.37,0.91,4.2
February,,,,,,2.58,,0.96,0.77,1.01,1.18,0.03,1.62,2.66,3.72,0.88,0.63,0.58,0.51,1.91,2.93,1.19,1.2,2.86,4.07,0.58,0.6,0.79,0.47,0.77,1.89,0.86,1.89,0.81,2.95,5.22,2.45,1.2,2.27,2.03,1.87,0.42,2.99,5.42,1.25,3.12,5.32,1.43,1.77,2.3,1.82,2.34,0.09,2.98,0.07,1.69,3.86,3.51,0.5,2.07,1.35,4.61,1.83,1.2,0.62,2.78,1.23,3.65,2.56,1.59,2.24,2.78,0.87,0.96,2.92,1.47,1.65,3.11,2.15,0.27,2.25
March,,,,,,1.98,6.12,1,3.26,1.39,1.55,1.8,0.7,0.97,0.63,1.92,0.96,3.12,0.29,1.53,1.21,1.2,0.8,1.66,1.43,2.36,0.94,1.72,3.6,3.87,0.95,1.03,1.79,4.19,3.87,2.44,3.56,2.22,1.04,1.93,2.11,2.23,1.9,0.89,0.84,1.63,1.16,2.27,4.98,0.43,2.3,1.29,2.81,1.75,3.15,1.4,2.46,4.21,0.48,2.08,2.44,2.16,1.8,0.58,0.39,0.91,2.41,3.88,1,1.69,1.84,2.1,1.8,0.31,2.55,1.53,1.58,2.02,3.97,1.36,2.13
April,,,,,,1.05,2.4,1.55,1.46,2.68,0.46,1.4,0.51,1.25,1.24,0.96,0.76,1.08,3.79,2.74,1.35,1.68,1.43,0.87,1.49,1.31,0.54,1.62,0.86,3.58,1.99,0.68,0.06,2.37,0.74,0.96,1.46,1.47,0.96,2.15,1.68,1.02,1.47,3.36,1.83,3.16,3.06,0.7,1.05,1.11,2.36,2.3,2.28,1.31,5.37,3.21,0.75,2.08,0.02,1.07,1.47,1.66,1.57,1.19,2.32,1.47,0.32,2.26,1.48,1.4,1.19,1.69,1.04,1.77,1.2,0.83,0.91,0.7,1.13,2.84,
May,,,,,,4.61,3.34,0.56,1.65,2.59,1.81,1.87,2.71,0.9,2.65,0.3,0.63,0.98,1.65,3.55,1.35,1.53,1.39,1.01,2.19,1.51,4.56,3.56,1.53,2.97,1.17,0.83,1.38,4.67,2.01,1.32,3.9,2.16,3.87,1.17,3.44,1.61,0.87,2.6,4.8,3.97,1.72,2.41,1.42,2.59,1.99,2.87,2.98,1.79,2.02,0.65,1.32,2.23,4.44,1.61,1.59,2.67,3.33,3.8,2.07,4.03,1.87,4.96,4.86,1.89,1.58,1.8,2.04,1.85,4.62,1.97,0.6,1.78,2.01,0.65,
June,,,,,,0.5,1.22,0.5,1.81,0.76,2.58,0.41,2.46,1.84,1.66,1.69,2.47,4.15,1.62,1.45,1.24,2.15,1.35,2.02,0.37,0.57,1.02,3.89,0.72,0.55,1.32,0.7,3.34,1.73,0.66,2.6,3.19,1.55,0.83,1.67,1,0.47,1.94,0.84,1.81,0.55,3.75,2.53,3.73,1.84,1.66,5.85,0.69,1.97,0.9,3.55,0.92,2.33,3.04,0.94,0.32,1.08,1.15,2.88,2.38,2.84,2.79,3.08,3.62,1.16,1.33,1.55,2.83,1.19,2.17,1.57,3.24,1.04,4.82,1.29,2.33
July,,,,,,0.47,4.57,1.69,5.03,3.09,2.86,1.86,1.62,2.65,3.39,3.94,3.1,1.5,0.65,1.48,3.17,0.76,2.78,3.4,0.99,1.05,0.75,2.3,2.19,2.31,3.21,1,2.28,0.73,2.44,3.71,7.45,2.14,5.49,0.64,2.4,2.53,3.12,2.73,4.52,1.6,4.41,2.39,1.21,2.33,2.35,3.4,3.74,3.02,2.23,1.15,4.92,4.95,4.79,4.5,5.01,3.89,2.28,3.52,1.85,3.26,2.54,2.69,2.22,3.15,4.16,4.1,1.7,3.11,3.28,1,4.01,3.8,3.67,3.61,3.45
August,,,,,,2.11,2.81,2.3,1.65,6.9,1.74,4.32,5.33,2.54,4.24,4.21,1.31,3.23,2.61,0.56,4.01,3.52,2.87,5.09,4.92,3,4.75,3.24,2.5,1.97,7.48,1.15,3.48,1.45,2.96,4.41,3.74,5.79,2.65,2.54,4.05,3.91,3.04,5.03,3.17,2.14,3.09,5.92,5.29,4.89,6.96,3.65,0.61,0.91,4.32,3.43,1.42,3.83,1.54,1.92,1.11,3.65,2.17,4.71,1.76,3.21,5.72,0.21,6.96,3.37,3.12,3.68,3.15,2.17,3.48,0.48,4.88,3.13,2.72,0.66,4.92
September,,,,,,2.6,3.31,4.57,0.35,0.48,2.65,3.22,1.05,1.56,0.18,0.67,3.42,0.95,1.68,2.86,2.04,1.52,1.2,2.41,2.4,0.85,0.96,1.45,4.36,1.56,0.87,0.88,2.39,2.45,0.93,1.7,2.05,1.38,3.26,1.42,3.02,1.62,2.2,2.86,5.19,3.01,4.09,5.1,2.68,0.7,5.65,1.01,1.19,1.59,3.02,3.21,3.58,1.37,2.85,1.67,1.93,1.19,3.24,2.23,2.67,3.33,3.33,2.78,2.66,1.56,5.99,1.71,0.93,2.17,2.66,1.15,4.1,1.42,2.08,0.69,1.79
October,,,,,,1.33,3.82,0.62,1.3,2.51,1.69,2.33,3.42,2.16,3.42,1.32,2.46,1.49,3.6,1.11,3.33,1.88,1.08,4.85,0.78,0.99,3.56,4.95,2.75,3.45,1.68,1.46,3.37,2.17,3.15,3.41,4.86,2.39,2.93,1.41,2.78,2.67,1.55,2.29,4.15,2,4.93,5.33,3.56,2.99,2.91,1.15,6.44,4.2,3.62,4.1,1.69,3.42,4.01,4.35,4.82,4.39,1.81,3.38,3.69,5.16,0.39,2.07,3.53,3.84,1.11,0.58,2.53,0.93,5.67,1.9,1.51,1.57,1.76,1.78,6.49
November,,,,,,2.17,3.8,2.76,5.34,0.72,4,2.66,1.69,1.02,1.14,2.24,0.72,1.75,3.7,1.91,3.78,1.53,2.8,0.63,0.52,4.74,3.44,1.37,1.6,0.2,2.37,2.06,1.6,2.12,3.94,2.09,4.21,2.93,1.7,5.06,2.22,2.31,1.46,2.31,2.18,1.11,5.43,2.46,2.6,3.39,3.56,4.98,1.36,2.55,0.76,4.27,1.67,0.46,3.52,5.01,5.21,3.68,0.42,1.08,4.3,1.46,6.16,2.01,1.28,2.92,3.17,6.44,2.09,2.61,4.18,1.96,0.84,1.27,0.9,4.14,4.19
December,,,,,,0.84,3.19,1.25,1.61,0.95,2.15,3.23,0.59,1.78,1.4,2.92,4.42,2.95,1.08,3.36,3.14,2.61,3.13,1.94,1.7,1.01,1.32,3.51,1.57,2.84,2.39,4.05,1.89,1.48,5.29,7.47,4.05,1.21,1.65,3.95,3.38,1.44,1.9,2.96,3.63,3.29,0.3,2.37,2.22,3.73,2.26,0.9,3.95,1.14,4.01,2.23,2.66,3.88,2.65,1.47,1.37,0.87,1.87,1.04,2.51,5.07,2.35,1.56,3.24,2.23,1.16,2.12,1.73,2.91,3.28,5.29,2.99,3.91,3.62,4.24,1.35
Total,,,,,,21.52,,19.62,25.84,23.78,24.83,23.55,22.98,20.5,25.98,23.61,21.57,23.16,21.72,25.8,30.43,20.77,20.6,29.38,21.93,18.18,24.16,29.35,23.72,25.48,26.69,15.13,26.23,29.27,30.66,37.67,42.79,26.04,29.13,26.84,30.61,22.92,26.84,32.85,36.45,27.73,42.37,34.82,35.25,27.99,35.78,31.64,28.11,24.72,31.18,30.17,30.34,36.23,31.98,30.6,28.33,33.11,25.61,28.99,25.84,37.24,31.23,32.74,38.06,26.46,28.76,31.6,22.38,20.43,37.38,20.4,28.88,26.42,30.2,22.44,
