"DUNDEE CAMPERDOWN JUTE & HEMP WORKS",,,,,,,,,,,,
Grid ref,NO382318,Long,-3.004807,Lat,56.474250,,,,,,,
Station no,5591,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.88,1.20,0.57,2.64,1.07,0.21,1.72,0.95,1.57,1.41,,
February,2.93,1.19,1.20,2.86,4.07,0.58,0.60,0.79,0.47,0.77,,
March,1.21,1.20,0.80,1.66,1.43,2.36,0.94,1.72,3.60,3.87,,
April,1.35,1.68,1.43,0.87,1.49,1.31,0.54,1.62,0.86,3.58,,
May,1.35,1.53,1.39,1.01,2.19,1.51,4.56,3.56,1.53,2.97,,
June,1.24,2.15,1.35,2.02,0.37,0.57,1.02,3.89,0.72,0.55,,
July,3.17,0.76,2.78,3.40,0.99,1.05,0.75,2.30,2.19,2.31,,
August,4.01,3.52,2.87,5.09,4.92,3.00,4.75,3.24,2.50,1.97,,
September,2.04,1.52,1.20,2.41,2.40,0.85,0.96,1.45,4.36,1.56,,
October,3.33,1.88,1.08,4.85,0.78,0.99,3.56,4.95,2.75,3.45,,
November,3.78,1.53,2.80,0.63,0.52,4.74,3.44,1.37,1.60,0.20,,
December,3.14,2.61,3.13,1.94,1.70,1.01,1.32,3.51,1.57,2.84,,
Total,30.43,20.77,20.60,29.38,21.93,18.18,24.16,29.35,23.72,25.48,,
Calc annual,30.43,20.77,20.60,29.38,21.93,18.18,24.16,29.35,23.72,25.48,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
