"DUNDEE (CAMPERDOWN WORKS)",,,,,,,,,,,,
Grid ref,NO382314,Long,-3.004713,Lat,56.470657,,,,,,,
Station no,5591,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,1.67,0.45,1.37,1.25,2.57,2.67,1.37,0.91,4.20,,
February,2.78,0.87,0.96,2.92,1.47,1.65,3.11,2.15,0.27,2.25,,
March,2.10,1.80,0.31,2.55,1.53,1.58,2.02,3.97,1.36,2.13,,
April,1.69,1.04,1.77,1.20,0.83,0.91,0.70,1.13,2.84,,,
May,1.80,2.04,1.85,4.62,1.97,0.60,1.78,2.01,0.65,,,
June,1.55,2.83,1.19,2.17,1.57,3.24,1.04,4.82,1.29,2.33,,
July,4.10,1.70,3.11,3.28,1.00,4.01,3.80,3.67,3.61,3.45,,
August,3.68,3.15,2.17,3.48,0.48,4.88,3.13,2.72,0.66,4.92,,
September,1.71,0.93,2.17,2.66,1.15,4.10,1.42,2.08,0.69,1.79,,
October,0.58,2.53,0.93,5.67,1.90,1.51,1.57,1.76,1.78,6.49,,
November,6.44,2.09,2.61,4.18,1.96,0.84,1.27,0.90,4.14,4.19,,
December,2.12,1.73,2.91,3.28,5.29,2.99,3.91,3.62,4.24,1.35,,
Total,31.60,22.38,20.43,37.38,20.40,28.88,26.42,30.20,22.44,,,
Calc annual,31.60,22.38,20.43,37.38,20.40,28.88,26.42,30.20,22.44,33.10,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,,
