STAMFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU225193,Long,-1.645683,Lat,55.467024,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3592/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.58,1.65,3.94,2.87,2.48,4.63,2.13,2.65,3.45,2.89,0.85,4.32,1.05,2.2,7.37,0.97,1.29,2.37,2.27,1.07,2.71,2,3.93,2.34,2.62,3.33,3.49
February,,,,0.46,1.07,2.71,3.09,0.82,1.17,2.35,4.56,2.18,0.59,1.3,1.31,0.57,3.36,1.34,0.71,3.57,2.44,0.97,1.19,2.81,3.13,2.09,2.64,3.44,0.21,2.64
March,,,,3.09,1.36,2.05,4.81,0.41,2.52,2.84,2.52,0.93,0.71,0.77,0.37,1.14,5.42,0.26,1.43,0.67,3.22,1.59,0.03,1.22,1.77,0.94,1.68,3.33,0.78,1.37
April,,,,5.74,3.07,1.04,1.7,0.15,1.11,0.85,0.75,0.64,1.58,2.18,1.3,0.72,3.7,2.55,0.78,2.6,3.15,1.3,2.48,0.36,0.68,0.97,0.38,1.83,2.06,0.6
May,,,,1.01,1.17,1.14,2.56,1.86,1.38,0.86,1.53,2.03,2.72,2.66,4.57,1.99,1.94,1.41,0.69,1.38,2.85,1.89,1.71,2.7,1.75,0.37,1.71,2.53,0.5,1.37
June,,,,2.05,2.13,2.08,1.55,2.4,1.79,0.96,0.25,1.61,1.27,2.39,2.3,2.3,1.62,3.88,0.79,1.31,1.65,1.82,2.41,1.39,1.61,1.32,0.92,2.11,1.7,1.08
July,,,,1.53,0.6,2.57,1.77,2.08,2.88,6.56,1.67,4.89,1.63,2.88,1.96,3.14,4.48,0.9,1.71,3.14,2.16,1.95,3.15,2.12,1.27,3.05,2.44,3.57,1.51,3.1
August,,,,3.24,3.23,0.95,2.84,2.85,0.8,1.22,3.18,2.43,3.74,1.64,3.91,6.21,0.16,6.78,2.15,3.47,3.23,2.36,2.51,4.87,0.52,7.28,4.81,1.94,0.33,2.48
September,,,,1.4,2.33,2.62,1.03,2.35,1.83,2.49,0.7,2.98,2.54,4.46,2.2,2.53,1.33,2.11,1.15,3.1,0.65,3.67,1.84,2.49,0.96,2.47,2.4,1.66,0.92,1.91
October,,,,3.28,2.88,1.54,2.54,3.35,3.35,2.28,4.28,2.51,2.01,2.36,2.94,1.04,0.81,2.09,6.62,1.36,0.9,3.12,1.44,4,2.39,1.61,1.68,1.3,1.99,6.36
November,,,,2.3,2.91,2.44,1.3,2.57,2.03,3.29,3.35,0.73,2.64,3.91,0.78,3.53,2.71,1.25,2.89,5.41,6.23,3.63,1.08,3.21,1.41,1.33,1.4,0.55,4.12,2.89
December,,,,3.33,2.61,1.18,5.41,4.23,1.73,2.24,0.42,1.7,0.79,2.13,2.02,2.68,1.81,2.17,2.17,2.88,1.04,4.99,0.95,1.63,3.68,2.62,1.65,3.68,3.12,1.6
Total,,,,29.01,25.01,24.26,31.47,25.55,25.22,28.07,25.86,26.08,23.11,27.53,27.98,26.9,29.54,32.11,22.06,30.18,29.89,29.56,19.86,29.51,21.17,27.98,24.05,28.56,20.57,28.89
