LEYTON SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ376862,Long,-0.016502,Lat,51.557907,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.24,1.72,1.79,2.26,1.1,2.32,1.56,2.03,1.29,3.68,0.73,2.39,1.22,1.44,1.17,1.27,1.2,3.48,3.21,2.57,5.14,1.6,2.59,1.91,4.7,1.38,1.73,1.31,1.38,3.12,0.72,1.04,2.63,1.75,0.65,1.1,2.15,3.27,1.42,2.25,1.87,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.62,0.35,0.29,1.81,2.63,0.42,2.15,2.91,2.98,1.72,0.48,0.97,1.94,0.2,1.11,0.11,2.04,1.35,4.08,0.69,0.88,1.29,1.92,1.17,1.27,0.37,1.59,2.57,0.32,1.2,0.81,3.43,5.48,0.79,1.48,2.12,1.5,0.14,3.18,2.34,0.05,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.27,1.27,1.06,1.3,2.03,0.35,0.5,0.18,2,1.24,0.01,1.47,0.26,1.46,2.12,2.24,0.39,1.11,2.72,0.37,1.24,3.54,2.91,1.64,0.35,0.11,0.79,1,4.53,0.58,0.8,0.72,3.29,2.63,0.41,1.99,0.94,0.85,1.04,1.09,1.51,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.73,2.88,1.22,2.66,1.31,2.45,1.4,3.45,1.78,1.4,1.13,1.72,3.35,2.24,0.7,2.04,2.72,1.22,2.7,0.13,2.37,1.68,1.63,0.86,1.21,0.13,0.93,1.32,1.78,1.31,1.49,1.96,2.73,1.14,2.26,0.3,0.29,1.16,0.24,1.72,2.22,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.47,0.57,1.2,0.47,2,2.79,1.37,1.01,1.41,2.5,1.9,2.74,2.65,3.08,1.91,0.4,1.15,0.36,3.13,1.65,1.54,1.73,1.84,2.64,1.63,0.72,2.93,3.22,0.85,3.11,1.84,1.52,2.03,0.87,1.12,1.76,4.18,0.62,1.48,2.47,0.85,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.65,1.31,0.43,1.32,0.4,2.38,0.1,3.04,2.57,2.04,1.09,2.55,1.31,0.51,2.67,1.62,2.76,3.04,1.75,0.42,1.16,0.39,1.64,0.29,1.44,2.04,1.68,2.97,3.06,3.07,0.66,1.29,1.03,1.93,1.73,3.32,2.18,2.15,1.25,5.59,0.68,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.79,3.36,0.15,3.47,2.84,3.07,4.07,2.29,3.38,1.72,1.65,1.77,2.54,2.01,0.99,0.99,1.12,2.49,1.57,2.07,2.51,3.21,2.63,1.41,1.83,1.21,2.74,1.89,1.76,0.99,3.36,3.16,1.54,0.65,4.45,2.59,0.62,4.1,3.68,2.43,1.67,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.11,1.76,1.37,2.22,1.92,2.2,2.31,2.24,4.48,2.44,1.8,3.27,4.3,3.01,0.53,1.78,1.68,0.4,1.36,1.53,4.09,0.04,4.78,1.88,1.43,2.43,1.49,4.05,0.13,3.43,1.13,1.92,3.97,2.8,1.94,3.38,0.96,5.11,1.77,3.49,2.62,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.99,3.23,2.3,1.71,1.1,2.35,1.82,1.18,4.59,0.62,0.33,2.5,1.67,2.18,2.71,1.15,2.58,2.23,1.62,3.53,1.73,1.1,0.67,1.59,1.9,3.18,1.41,2.59,1.43,1.16,0.41,2.38,3.55,2.92,1.91,1.65,1.87,2.38,2.38,3.74,0.08,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,0.62,1.13,0.78,0.78,4.84,2.94,2.48,2.09,1.02,3.12,2.72,0.88,0.67,5.35,2.17,1.09,2.86,1.66,2.06,2.59,5.49,2.52,0.67,4.14,2.61,3.06,1.85,1.35,0.08,2.05,5.72,0.4,0.97,2.34,3.26,1.65,2.79,2.08,2.07,2.37,1.82,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.72,0.76,1.67,1.44,1.52,2.17,1.27,4.13,2.24,2.09,5.1,4.03,1.99,1.13,0.76,1.83,3.48,3.3,1.3,2.97,4.48,6.4,2.43,2.23,1.28,3.63,0.17,3.38,0.93,2.25,2.05,4.78,4.58,3.76,0.88,3.4,0.6,0.49,2.26,1.86,3.07,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,1.29,1.91,1.11,2.75,1.81,2.75,2.38,0.34,2.9,2.46,3.88,1.96,0.77,0.47,0.44,4.63,2.36,1.96,3.72,3.06,1.03,1,1.96,2.3,1.46,1.04,2.66,1.96,2.12,2.27,1.6,1.36,1.76,2.16,0.61,1.48,1.76,2.29,1.52,2.99,3.03,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,17.5,20.25,13.37,22.19,23.5,26.19,21.41,24.89,30.64,25.03,20.82,26.25,22.67,23.08,17.28,19.15,24.34,22.6,29.22,21.58,31.66,24.5,25.67,22.06,21.11,19.3,19.97,27.61,18.37,24.54,20.59,23.96,33.56,23.74,20.7,24.74,19.84,24.64,22.29,32.34,19.47,30.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
