"HORNCASTLE REVESBY (LATE MININGSBY)",,,,,,,,,,,,
Grid ref,TF302633,Long,-0.054524,Lat,53.150931,,,,,,,
Station no,RR272,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.28,0.75,0.74,1.73,1.82,0.66,2.60,1.07,1.22,1.35,,
February,4.14,1.77,1.68,0.31,2.85,0.67,2.23,1.46,1.55,0.70,,
March,0.23,1.79,1.39,3.02,1.74,1.65,2.22,1.45,2.06,3.25,,
April,1.26,1.36,1.41,1.76,0.85,1.88,0.47,1.70,2.47,1.65,,
May,1.52,1.47,2.51,2.25,2.00,1.11,1.64,3.21,1.44,0.98,,
June,2.51,1.75,3.26,1.26,0.33,2.39,1.64,2.23,1.81,3.42,,
July,1.22,1.65,1.54,2.29,3.71,0.99,0.34,1.51,2.98,5.97,,
August,4.40,1.85,2.96,4.44,2.76,3.40,2.60,1.84,2.77,2.49,,
September,0.67,1.11,0.74,4.11,2.63,1.99,1.42,0.68,2.02,1.02,,
October,2.71,2.43,2.45,6.09,0.96,2.14,4.83,5.75,0.89,3.80,,
November,2.53,2.25,1.94,2.01,1.16,2.50,3.63,2.04,1.18,0.66,,
December,4.35,5.40,1.02,1.23,1.72,0.52,2.14,2.67,1.79,4.25,,
Total,28.82,23.58,21.64,30.50,22.53,19.90,25.76,25.61,22.18,29.54,,
Calc annual,28.82,23.58,21.64,30.50,22.53,19.90,25.76,25.61,22.18,29.54,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
