"THORNHILL HOUSE, WALTON",,,,,,,,,,,,,,,,,,,,
Grid ref,SE353170,Long,-1.4674556,Lat,53.64832,Elevation,137,ft,,,,,,,,,,,,
Station no,3227,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,2,2.13,3.25,,,,,,,
February,,,,,,,,,,,4,1.23,0.94,,,,,,,
March,,,,,,,,,,,3.06,1.83,0.57,,,,,,,
April,,,,,,,,,,,3.47,0.97,1.4,,,,,,,
May,,,,,,,,,,,1.87,2.18,2.19,,,,,,,
June,,,,,,,,,,,1.4,1.29,1.25,,,,,,,
July,,,,,,,,,,,0.26,1.63,1.33,,,,,,,
August,,,,,,,,,,0.5,2.48,3.4,2.72,,,,,,,
September,,,,,,,,,,1.52,0.51,1.4,2.74,,,,,,,
October,,,,,,,,,,3.09,2.67,2.94,1.55,,,,,,,
November,,,,,,,,,,4.38,3.04,1.26,1.77,,,,,,,
December,,,,,,,,,,1.78,0.48,1.13,1.15,,,,,,,
Total,,,,,,,,,,,25.24,21.39,20.86,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved here 31st July 1940 from 3/4 mile south east at Walton Hall,,,,,,,,,,,,,,,,,,,,
