FRANT (ERIDGE CASTLE),,,,,,,,,,,,
Grid ref,TQ564356,Long,0.232288,Lat,51.098379,,,,,,,
Station no,578,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.39,3.52,1.29,1.79,3.79,6.07,3.13,,,,,
February,8.06,1.08,1.65,2.32,2.59,1.07,5.62,,,,,
March,4.54,3.47,0.28,4.13,1.56,1.04,1.41,,,,,
April,2.90,2.40,3.01,0.68,0.31,1.37,0.44,,,,,
May,2.19,1.32,1.77,2.88,5.44,0.42,1.43,,,,,
June,1.61,2.03,1.49,3.81,2.55,3.38,1.81,,,,,
July,2.26,0.73,4.42,3.02,2.72,3.80,3.83,,,,,
August,6.45,3.74,1.40,2.48,0.87,4.58,2.91,,,,,
September,3.89,3.72,5.14,2.97,2.84,4.12,3.71,,,,,
October,1.61,3.83,3.58,3.44,5.22,2.10,1.79,,,,,
November,7.24,4.91,1.59,7.44,2.03,1.25,3.83,,,,,
December,4.14,3.30,0.99,2.61,3.21,6.17,3.01,,,,,
Total,49.28,34.05,26.61,37.57,33.13,35.37,32.92,,,,,
Calc annual,49.28,34.05,26.61,37.57,33.13,35.37,32.92,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
