WATFORD-PINNER-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ120945,Long,-0.38296057,Lat,51.638164,Elevation,290,ft,,,,,,,,,,,,
Station no,0900/6/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.18,2.07,4.86,1.16,0.48,2.25,,,,,,,,,
February,,,,,,2.76,1.56,1.25,1.25,4.66,4.97,,,,,,,,,
March,,,,,,1.49,5.58,0.8,1.21,0.92,3.86,,,,,,,,,
April,,,,,,1.68,1.74,1.21,1.85,2.34,2.72,,,,,,,,,
May,,,,,,3.91,1.19,2.72,2.13,1.84,2.44,,,,,,,,,
June,,,,,,2.56,2.44,3.49,0.48,1.39,1.73,,,,,,,,,
July,,,,,,2.89,2.94,1.24,2.39,5,1.15,,,,,,,,,
August,,,,,,4.28,0.2,2.52,1.96,3.42,3.74,,,,,,,,,
September,,,,,,3.19,1.37,1.71,0.71,3.16,3.45,,,,,,,,,
October,,,,,,1.02,0.06,2.42,6.32,0.58,0.98,,,,,,,,,
November,,,,,,5.42,1.13,2.09,2.58,5.02,5.43,,,,,,,,,
December,,,,,,2.42,2.53,3.28,1.63,1.14,1.85,,,,,,,,,
Total,,,,,,33.8,22.81,27.59,23.67,29.95,34.57,,,,,,,,,
