SETTLE-HOLDEN-MOOR,,,,,,,,,,
Grid ref,SD765589,Long,-2.360208,Lat,54.025555,Elevation,1036,ft.,,
Station no,3088/4/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.12,7.85,6.38,4.4,6.62
February,,,,,,1.62,4.5,9.35,1.4,6.46
March,,,,,,2.65,5.05,1.7,3.01,1.79
April,,,,,,2.05,1.55,1.81,4.01,4.5
May,,,,,,2.39,3.2,6.86,0.95,1.93
June,,,,,,2.75,2.55,4.1,3.95,2.42
July,,,,,,7.46,5.63,4.5,4.37,8.44
August,,,,,,9.89,6.9,6.25,0.77,4.3
September,,,,,,3.76,6.55,6.76,0.54,3.64
October,,,,,3.38,4.26,8.1,5.35,7.05,3.79
November,,,,,2.84,2.32,,2.2,6.4,10.58
December,,,,,8.36,6.72,6.88,5.34,11,7.49
Total,,,,,,51.99,,60.6,47.85,61.96
,,,,,,,,,,
NGR is from 1950s record and is on Holden Moor at the stated altitude.,,,,,,,,,,
MIDAS src_id 12295 ends 1982,,,,,,,,,,
