"RENFREW (GLASGOW AIRPORT)",,,,,,,,,,,,
Grid ref,NS508662,Long,-4.385763,Lat,55.865812,,,,,,,
Station no,5297,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.81,4.99,1.19,5.14,2.72,2.50,5.77,4.52,1.27,3.44,,
February,2.85,1.26,1.45,4.09,2.78,1.11,2.92,2.35,1.35,3.61,,
March,2.76,2.60,0.98,2.33,1.82,2.07,3.56,0.89,1.65,1.99,,
April,2.26,1.82,1.43,1.47,1.50,0.87,1.96,1.07,2.78,3.37,,
May,1.90,2.32,1.91,3.22,2.70,1.88,2.52,2.90,1.09,2.74,,
June,2.22,2.32,2.45,2.54,1.76,2.41,1.85,2.89,2.83,1.79,,
July,3.17,2.07,4.05,2.65,1.20,4.09,2.91,4.77,4.31,3.35,,
August,4.55,3.07,3.12,5.09,0.83,4.59,3.55,3.63,0.45,3.31,,
September,2.89,3.02,3.85,4.70,3.45,4.63,2.33,3.17,1.00,2.67,,
October,0.78,4.39,2.49,8.76,2.60,2.88,3.68,3.31,4.52,3.07,,
November,6.26,1.87,5.86,6.50,1.97,1.33,1.36,1.69,4.57,4.93,,
December,6.23,3.76,4.78,4.81,6.28,4.55,4.03,4.62,6.76,4.63,,
Total,40.68,33.49,33.56,51.30,29.61,32.91,36.44,35.81,32.58,38.90,,
Calc annual,40.68,33.49,33.56,51.30,29.61,32.91,36.44,35.81,32.58,38.90,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
