REDCAR HIGH CLIFFE COATHAM,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6010,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,0.84,2.20,1.39,2.91,1.06,0.69,,,
February,,,,1.12,0.48,0.65,0.53,0.62,1.33,,,
March,,,,1.47,1.07,1.39,2.48,1.55,3.45,,,
April,,,,0.86,1.53,1.12,1.55,0.73,1.14,,,
May,,,,1.50,0.35,2.87,2.65,1.99,0.03,,,
June,,,,2.26,0.41,1.85,0.41,0.27,1.49,,,
July,,,,,4.17,0.54,3.80,0.86,4.79,,,
August,,,,-999.00,1.19,2.48,1.55,1.02,2.75,,,
September,,,,,0.82,1.91,1.02,3.54,0.99,,,
October,,,,1.97,1.29,2.98,1.60,3.35,0.63,,,
November,,,,0.97,1.51,1.12,2.48,1.89,1.53,,,
December,,,,1.34,0.98,0.78,2.45,2.40,0.51,,,
Total,,,,20.51,16.00,19.08,23.43,19.28,19.33,,,
Calc annual,0.00,0.00,0.00,12.33,16.00,19.08,23.43,19.28,19.33,0.00,,
Difference,NaN,NaN,NaN,8.18,0.00,-0.00,0.00,0.00,-0.00,NaN,,
