LAMBOURN-EAST-GARSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU361770,Long,-1.4814326,Lat,51.4908,Elevation,395,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,4.04,3.11,1.43,0.92,3.25,4.52,0.48,4.33,0.84,1.61,0.77,2.31,1.11,3.78,3.75,0.73,4.78,1.66,1.58,,
February,,,,,,,,,,2.48,4.72,1.22,1.11,1.55,3.64,0.64,2.2,1.3,1.21,0.63,3.31,1.92,2.4,1.16,3.2,5.07,4.73,1.11,,
March,,,,,,,,,,0.56,1.11,2.15,1.79,3.89,1.6,4.09,1.52,1.07,3.73,3.29,1.08,1.97,4.31,3.22,4.67,1.23,3.73,2.07,,
April,,,,,,,,,,2.57,1.12,2.55,1.39,2.77,1.09,2.36,0.92,3.36,3.59,1.81,2.15,1.14,0.02,3.75,1.09,1.25,1.07,1.8,,
May,,,,,,,,,,2.1,1.43,1.32,2.36,3.73,2.98,0.71,1.63,2.07,2.26,1.6,1.83,1.45,1.86,2.6,2.34,3.34,1.64,3.83,,
June,,,,,,,,,,1.69,2.99,1.44,2.6,5.74,0.98,4.04,2.9,3.38,0.85,4.12,4.83,2.17,3.59,0.44,2.03,1.1,2.2,,,
July,,,,,,,,,,0.18,1.1,3.33,0.85,2.93,2.66,0.97,0.61,2.28,2.41,2.05,1.7,0.03,1.99,2.39,3.42,4.2,0.97,,,
August,,,,,,,,,,1.34,2.58,2.15,3.24,3.62,3.1,3.2,0.79,1.89,3.69,2.96,2.1,1.96,5.04,1.12,2.66,4.35,5.18,,,
September,,,,,,,,,,2.02,0.74,2.21,0.85,2.31,1.53,1.4,0.92,0.59,2.97,3.39,0.41,0.99,1.61,1.76,1.06,2.29,1.95,,,
October,,,,,,,,,,2.96,2.44,1.39,1.93,8.02,1.11,2.13,5.32,6.71,1.11,4.92,4.34,2.33,3.42,3.78,3.26,3.66,4.02,,,
November,,,,,,,,,,3.3,2.59,0.75,3.47,1.99,2.25,3.64,4.48,2.45,1.16,0.62,3.93,3.22,2.25,3.16,4.05,2.24,4.1,,,
December,,,,,,,,,,1.78,4.39,5.32,2.14,2.02,2.57,1,2.35,4.92,2.23,4.17,4.59,6.08,4.24,1.33,7.2,6.1,3.55,,,
Total,,,,,,,,,,25.02,28.32,25.26,22.65,41.82,28.03,24.66,27.97,30.86,26.82,30.33,32.58,24.37,34.51,28.46,35.71,39.61,34.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is just east of East Garston church as described on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
