"MAIDENHEAD (S.W.)",,,,,,,,,,,,
Grid ref,SU891805,Long,-0.717319,Lat,51.516406,,,,,,,
Station no,782/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.73,1.66,0.81,0.88,2.47,3.53,1.31,2.78,2.69,2.34,,
February,4.63,0.69,1.41,2.16,1.50,0.13,2.86,2.96,0.08,1.90,,
March,3.36,2.56,0.42,2.22,1.03,0.60,1.16,1.68,2.31,1.28,,
April,2.46,1.89,2.19,0.38,0.36,1.69,0.23,1.16,2.52,0.51,,
May,2.60,2.44,1.40,2.54,4.08,0.17,1.30,1.84,0.53,1.61,,
June,1.03,1.14,0.98,3.84,2.47,1.87,1.14,3.59,0.61,1.51,,
July,1.48,0.38,3.19,2.53,0.62,3.01,3.41,2.37,3.82,4.19,,
August,3.76,3.51,1.72,3.07,1.03,3.92,2.51,3.65,1.83,2.95,,
September,2.76,2.89,2.03,1.68,1.41,2.59,2.51,4.08,0.04,3.13,,
October,0.78,2.92,2.58,1.98,3.06,1.53,1.92,2.95,2.61,6.71,,
November,5.74,2.93,1.34,4.16,1.60,0.42,2.13,2.18,2.15,3.77,,
December,1.47,2.59,0.55,2.34,2.34,3.21,2.11,2.80,3.38,2.77,,
Total,32.80,25.60,18.62,27.78,21.97,22.67,22.59,32.04,22.57,32.67,,
Calc annual,32.80,25.60,18.62,27.78,21.97,22.67,22.59,32.04,22.57,32.67,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
