WENTWORTH WOODHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK393979,Long,-1.409342,Lat,53.476368,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.68,1.14,2.26,4.36,0.53,2.83,0.44,3.38,3.56,1.61,0.94,2.59,2.54,0.52,3.49,1.02,1.37,1.77,2.92,1.05,4.43,3.54,1.31,3.48,1.07,2.79,1.97,3.27,3.43,2.38,3.77,0.84,1.89,2.4,2.93,1.54,4.61,1.91,3.92,1.78,1.6,2.38,1.85,1.28,3.46,4.67,2.97,5.26,3.43,4.73,2.35,3.89,3.27,2.13,3.15,2.99,4.66,,1.73,0.76,2.83,0.61,,,,,,,
February,,,2.55,3.59,3.41,0.3,0.72,2.97,1.05,1.35,4.28,1.43,1.72,1.99,4.63,1.15,2.49,1.45,2.17,0.49,2.38,1.77,2.06,1.16,1.79,3.67,4.58,0.96,2.16,2.91,2.35,0.2,2.89,4.79,1.28,3.6,1.91,1.19,2.53,0.9,0.92,2.61,0.53,4.52,0.44,3,3.29,3.14,0.98,0.87,2.43,4.74,0.95,1.02,1.83,2.04,2.7,4.06,2.02,,4.26,3.36,0.3,2.1,,,,,,,
March,,,1.16,0.75,1,2.32,2.47,3.16,1.57,1.11,1.12,1.94,1.21,3.19,2.39,2.5,1.54,1.67,3.2,2.75,0.72,0.97,1.93,3.56,2.63,0.94,5.4,1.97,1.48,4.87,2.4,1.01,1.71,1.66,1.04,0.76,0.79,1.89,3.2,0.08,2.85,0.19,1.56,2.39,1.88,1.54,1.89,2.92,0.17,1.57,1.77,4.76,2.15,0.77,0.4,0.56,1.58,4.54,0.46,,1.29,3.12,2.02,1.08,,,,,,,
April,,,1.32,0.29,3.37,2.53,0.66,1.62,2.96,2.13,1.15,1.72,1.82,1.65,1.76,2.3,0.78,1.97,2.62,2.12,2.04,0.81,0.18,2.76,0.88,1,0.89,1.93,1.34,1.49,4.4,0.98,4.07,2.14,1.79,3.26,1.33,2.06,1.09,0.67,2.89,3.06,2.56,1.3,2.11,2.04,1.51,2.7,0.12,1.23,2.34,1.62,1.31,1.72,2.31,1.62,1.54,2.15,1.55,,2.55,0.86,2.02,2.32,,,,,,,
May,,,2.19,2.65,1.59,0.5,0.68,0.97,3.11,2.87,1.48,1.19,2.97,3.73,3.18,0.59,1.63,3.74,2.7,2.06,2.18,1.07,4.83,1.84,1.28,1.42,2.68,1.75,2.19,0.88,3.39,1.14,0.87,3.17,3.07,4.09,2.04,1.17,1.67,1.39,1.25,2.81,7.42,2.09,1.17,0.36,1.22,3.28,2.66,0.86,0.68,1.91,2.86,2.51,2.33,2.88,2.58,1.9,0.85,,1.69,4.12,1.82,1.61,,,,,,,
June,,,3.55,1.8,2.87,2.39,3.37,1.68,1.85,2.33,2.83,0.72,2.08,1.81,0.72,2.43,2.13,3.1,1.26,3.67,3.54,2.33,4.18,0.23,2.69,0.69,1.75,2.49,0.69,0.67,2.68,0.23,0.63,0.76,2.47,0.15,3.04,2.78,3.17,0.96,1.16,4.97,0.72,1.05,1.32,2.24,4.62,1.37,1.64,1.86,0.65,0.11,1.49,1.21,2.26,3.15,4.51,2.9,2.45,,0.33,0.85,1.32,2.17,,,,,,,
July,,,2,2.91,2.72,4.75,1.15,0.75,1.18,1.6,2.18,3.75,1.69,2.6,1.51,1.65,1.95,2.08,2.05,3.66,2.53,0.13,4.79,1.6,4.18,4.27,1.22,1.13,4.48,5.46,5.46,0.3,2.46,4.07,2.49,1.06,2.28,2.55,0.63,0.91,6.55,4.98,4.46,2.51,1.72,0.45,3.71,2.98,2.65,4.19,3.41,4.66,1.84,0.93,2.42,1.46,2.42,1.95,1.23,,0.97,1.77,1.9,2.64,,,,,,,
August,,,2.17,1.97,1.94,2.91,1.72,2.99,3.31,1.03,4.61,1.14,4.28,3.41,3.55,3.33,1.61,1.72,2.17,2.63,3.35,2.1,6.57,1.45,1.6,2.47,1.34,4.71,1.46,3.35,1.04,4.86,6.42,2.28,3.14,2.53,2.93,5.22,2.83,1.99,2.49,4.81,3.02,0.39,1.01,3.21,1.04,0.21,3.22,1.94,0.26,2.74,2.59,2.22,2.72,2.6,6.58,0.72,4.39,,2.55,5.3,1.4,2.84,,,,,,,
September,,,2.21,1.68,0.44,0.71,5.29,1.75,0.44,3.1,0.43,1.07,1.22,3.3,1.27,1.12,0.73,0.42,1.77,2.6,0.33,1.4,1.17,4.3,1.78,0.84,1.23,0.8,6.29,2.48,1.28,0.67,2.57,1.67,2.82,2.61,1.15,4.04,0.24,1.24,4.1,3.92,1.51,2.27,1.64,4.24,2.5,1.82,2.51,2.04,1.03,0.55,1.67,2.93,3.71,0.75,5.32,1.17,1.39,,2.74,1.03,1.89,1.28,,,,,,,
October,,,5.77,0.78,4.75,4.48,2.71,1.2,3.11,2.85,2.53,1.77,3.1,6.55,0.69,2.02,5.65,6.05,1.35,2.48,2.07,1.59,2.94,4.73,2.63,1.65,3.04,3.67,1.64,3.12,2.35,1.65,0.82,1.65,3.44,3.29,2.75,2.42,4.54,2.73,2.71,0.72,3.38,5.05,1.92,3.62,2.76,3.37,4,2.5,4.21,2.7,2.24,1.71,2.64,4.3,1.77,0.7,0.8,,0.57,1.01,4.12,1.91,,,,,,,
November,,,1.09,2.28,0.95,2.97,1.57,2.3,2.54,1.2,2.4,3.24,2.4,1.37,1.13,3.82,3.11,2.53,1.05,0.43,3.67,3.03,1.59,2.48,3.33,2.64,4.68,1.06,1.3,1.93,1.06,1.93,0.98,2.59,1.9,1.68,3.64,2.84,3.61,5.04,2.98,3.71,1.83,1.9,2.04,5.29,3.12,2.19,2.72,4.5,6.83,3.49,1.57,2.11,4.76,0.47,6.21,1.37,1.6,,3.26,6.88,1.64,1.65,,,,,,,
December,,,0.42,3.22,1.35,3.92,2.82,3.15,2.82,2.61,3.94,5.64,2.22,1.38,1.63,0.55,2.09,2.21,1.22,5.04,4.05,3.53,2.54,1.8,5.98,6.84,3.2,1.79,3.1,3.48,2.53,3.36,3.55,2.6,2.61,2.57,1.01,2.93,1.96,5.93,2.21,0.85,0.95,0.5,4.21,3.13,2.13,3.9,3.43,2.44,2.41,0.79,1.48,1.25,2.33,1.5,2.33,1.92,2.84,,0.38,2.69,2.13,1.2,,,,,,,
Total,,,25.11,23.06,26.65,32.14,23.69,25.37,24.38,25.56,30.51,25.22,25.65,33.57,25,21.98,27.2,27.96,22.93,29.7,29.78,19.78,37.21,29.45,30.08,29.91,31.08,25.05,28.1,33.91,32.37,18.71,30.74,28.22,27.94,28,25.8,30.63,30.08,23.75,34.03,34.41,29.54,26.35,21.31,30.4,31.25,32.55,27.07,29.26,29.45,32.8,22.5,22.27,30.98,23.46,40.69,26.37,24.24,,22.32,31.75,23.39,21.41,,,,,,,
Calc annual,0,0,25.11,23.06,26.65,32.14,23.69,25.37,24.38,25.56,30.51,25.22,25.65,33.57,25,21.98,27.2,27.96,22.93,29.7,29.78,19.78,37.21,29.45,30.08,29.91,31.08,25.05,28.1,,32.37,18.71,30.74,28.22,27.94,28,25.8,30.63,30.08,23.75,34.03,34.41,29.54,26.35,21.31,30.4,31.25,32.55,27.07,29.26,29.45,32.8,22.5,22.27,30.98,23.46,40.69,26.37,24.24,0,22.32,31.75,23.39,21.41,0,0,0,0,0,0,0
Difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
