STRACHUR (GLENBRANTER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS112973,Long,-5.039517,Lat,56.130963,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.55,3.82,1.51,9.58,12.08,14.98,5.11,14.9,14.06,13.62,13.85,8.72,9.2,10.16,7.72,9.79,5.35,7.98,14.14,10.73,3.69,5.6
February,,,,,,,,,14.63,3.02,8.57,3.05,12.32,4.92,15.15,7.41,0.79,10.51,12.81,9.99,5.95,4.7,6.11,7,8.09,3.11,6.77,5.87,3.26,8.65
March,,,,,,,,,8.57,6.71,4.03,6.05,5.31,2.39,6.92,4.85,4.79,11.55,5.22,6.18,6.26,7.78,3.41,5.89,2.36,5.3,9.16,2.35,8.51,3.59
April,,,,,,,,,4.16,4.25,4.61,4.5,8.64,4.45,3.78,3.97,13.04,6.65,13.83,6.83,6.38,4.45,5.34,4.21,6.18,3.92,3.57,3.85,7.69,9.88
May,,,,,,,,,2.15,3.31,2.74,5.7,4.55,7.23,6.08,1.82,5.81,3.8,4.49,2.51,2.73,2.18,4.46,4.74,6.16,5.66,2.13,6.92,3.16,4.47
June,,,,,,,,,3.94,2.43,1.85,4.34,6.35,7.45,8.81,6.19,4.76,7.58,1.89,4.45,2.52,5.39,0.98,7.11,6.04,6.43,4,3.5,5.31,3.12
July,,,,,,,,6.42,8.82,4.07,4.2,7.55,3.93,4.44,6.37,5.64,8.31,7.53,3.77,9.07,7.28,5,9.39,5.41,1.04,7.74,8.28,4.8,8.65,8.01
August,,,,,,,,4.44,3.3,6.11,8.08,9.95,12.42,5.88,3.5,6.16,0.03,9.83,7.14,10.86,6.99,7.53,8.72,6.76,2.37,5.85,8.97,6.99,4.06,4.09
September,,,,,,,,9.04,5.68,8.06,3.94,12.06,8.35,7.38,10.1,10.04,9.52,13.41,4.92,18.29,6.48,5.94,14.76,12,10.31,8.48,5.31,6.45,2.72,4.53
October,,,,,,,,18.56,5.81,12.31,8.85,13.88,21,9.42,9.49,0.87,4.49,15.89,12.89,11.23,3.85,11.03,8.35,14.44,9.66,6.77,11.53,9.66,10.78,6.33
November,,,,,,,,18.17,15.84,13.03,11.88,3.19,6.34,14.14,1.54,12.51,14.62,6.81,11.94,6.74,14.32,3.57,18.55,16.91,5.62,6.44,4.26,3.01,10.1,11.67
December,,,,,,,,10.95,5.8,13.89,7.14,16.34,6.77,13.14,10.56,12.48,5.38,17.01,17.99,3.67,16.39,9.96,9.71,16.84,14.84,17.89,12.04,11.09,16.26,12.71
Total,,,,,,,,,86.25,81.01,67.4,96.19,108.06,95.82,87.41,86.84,85.6,124.19,110.74,98.54,88.35,77.69,97.5,111.1,78.02,85.57,90.16,75.22,84.19,82.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G move jun 1938 650yds NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,666288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
