STRACHUR (GLENBRANTER),,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 10660 96768,Long,-5.047816,Lat,56.125975,Elevation,188,ft,,,,,,,,,,,,,
Station no,5434,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,15.62,16.01,22.56,3.76,15.6,10.86,18.74,11.48,17.18,6.11,7.3,16.11,15.1,,
February,,,,,,,9.49,6.68,9.15,3.57,0.84,11.13,0.03,9.19,3.4,12.59,6.81,9.43,7.65,,
March,,,,,,,11.27,9.06,9.27,2.05,5.45,1.34,4.36,5.52,5.21,4.92,5.92,2.26,12.86,,
April,,,,,,,3.78,6.81,5.26,2.66,3.58,4.19,8.8,8.18,5.81,5.66,3.1,3.9,1.27,,
May,,,,,,,5.03,5.02,1.37,7.29,4.08,5.44,3.36,3.65,6.94,0.73,3.01,2.66,4.95,,
June,,,,,,,6.47,6.16,6.76,5.95,4.56,7.85,3.14,4.54,3.02,5.4,2.46,6.53,9.27,,
July,,,,,,,6.83,4.9,7.28,5.71,3.79,6.77,7.6,5.66,4.17,4.95,6.39,4.72,,,
August,,,,,,,8.66,8.11,6.69,10.23,10.11,2.63,5.57,7.73,6.85,5.83,3.77,5.06,,,
September,,,,,,,8.26,9.7,7.53,5.13,4.85,2.95,7.29,1.28,11.81,13.24,5.69,6,,,
October,,,,,,,12.27,10.81,14.86,12.84,14.36,8.88,10.06,6.23,16.88,19.58,12,3.82,,,
November,,,,,,,12.97,12,15.3,12.78,13.69,14.67,10,5.18,4.58,11.86,7.35,1.73,,,
December,,,,,,,8.37,2.38,11.74,23.78,9.74,11.36,15.42,2.26,15.31,6.16,15.76,4.96,,,
Total,,,,,,,109.02,97.64,117.77,95.75,90.65,88.07,94.37,70.9,101.16,97.03,79.56,67.18,,,
,,,,,,,,,,,,,,,,,,,,,
G move jun 1938 650yds NE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5434,,,,,,,,,,,,,,,,,,,,
Midas,920,,,,,,,,,,,,,,,,,,,,
Hyd Stn,666289,,,,,,,,,,,,,,,,,,,,
