WHITE-RODING-COLVILLE-HALL,,,,,,,,,,
Grid ref,TL553133,Long,0.25066531,Lat,51.79679,Elevation,260,ft,,
Station no,1238/9/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.15,1.32,2.16,2.2,1.98
February,,,,,,0.56,2.76,3.07,0.1,1.79
March,,,,,,0.86,1.26,1.22,1.99,1.01
April,,,,,,1.14,0.3,1.47,2.19,0.55
May,,,,,,0.52,0.86,2.71,0.93,1.9
June,,,,,,1.72,2,5.18,0.94,1.79
July,,,,,,3.38,2.4,3.28,1.79,3
August,,,,,1.3,4.67,2.09,2.96,0.73,3.2
September,,,,,2.43,1.58,2.65,4.13,0.1,5.23
October,,,,,3.33,2.53,1.97,2.43,1.67,5.97
November,,,,,0.71,0.69,2.23,1.75,2.82,3.27
December,,,,,1.68,2.9,2.2,3.08,4.09,2.62
Total,,,,,,23.7,22.04,33.44,19.55,32.31
