HAVERTHWAITE (OUTWOOD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD346836,Long,-3.005081,Lat,54.243893,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3024/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.4,6.39,5.54,3.65,2.3,7.51,10.18,6.49,6.51,7.76,6.13,10.78,4.59,3.81,8.01,5.72,3.48,5.13,3.94,5.49,7.05,6.7,,
February,,,,,,,8.5,2.31,5.48,1.91,5.12,2.46,3.21,2.67,6.13,5.33,1.38,4.51,3.45,5.81,5.9,1.51,2.07,5.85,2.36,0.84,4.96,7.09,,
March,,,,,,,2.61,2.35,2.88,6.18,3.73,4.56,1.72,0.79,3.34,2.85,8.43,3.69,3.03,4.03,5.59,4.4,0.87,4.3,2.24,1.86,4.14,2.03,,
April,,,,,,,4.01,0.69,2.68,3.46,1.76,2.37,3.38,4.83,2.51,1.59,5.8,2.83,6.31,4,2.51,3.76,3.12,1.8,3.67,1.5,1.22,2.03,,
May,,,,,,,2.06,5.59,1.35,1.52,3.73,4.31,5.85,3.21,4.06,1.68,4.84,2.76,3.65,2.02,3.18,3.27,3.54,3.62,4.3,3.25,4.47,6.64,,
June,,,,,,,2.86,5.46,3.63,0.85,0.56,1.52,3.9,3.88,4.53,4.98,3.66,8.92,0.82,3.03,1.28,4.53,2.86,5.32,5.34,2.54,2.87,4.14,,
July,,,,,,,3.99,6.85,7.9,5.71,1.95,4.95,4.84,3.83,6.01,5.03,3.24,2.47,4.48,5.22,3.66,2.43,6.11,6.12,2.42,8.3,4.26,3.85,,
August,,,,,,,2.83,3.96,3.01,1.88,5.72,5.83,9.52,4.6,1.65,5.91,0.33,5.4,3.51,9.68,4.89,8.51,6.14,7.66,3.03,8.67,5.16,4.98,,
September,,,,,,,4.87,2.95,2.21,3.99,1.92,5.39,7.31,9.31,5.18,9.84,4.69,7.22,2.23,11.62,6.5,4.79,7.58,8.84,4.2,4.85,8.29,7.75,,
October,,,,,,,3.28,13.64,2.01,6.69,7.28,6.75,7.4,6.99,6.29,0.87,1.23,4.74,7.76,5.39,1.09,4.15,3.45,12.1,3.58,5.73,8.35,6.92,,
November,,,,,,,2.45,8,8.91,6.15,2.99,1.85,5.11,9.52,0.35,9.62,8.1,5.78,7.26,6.24,9.93,2.62,8.69,10.95,3.4,2.11,2.06,2.82,,
December,,,,,,,5.1,6.28,3.36,7.01,3.52,6.65,3.09,6.01,3.47,6.69,3.56,5.23,8.8,3.47,11.92,6.51,4.54,8.56,8.56,5.77,6.56,5.13,,
Total,,,,,,,46.96,64.47,48.96,49,40.58,54.15,65.51,62.13,50.03,62.15,51.39,64.33,55.89,64.32,64.46,52.2,52.45,80.25,47.04,50.91,59.39,60.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
