"RETFORD MORTON HALL",,,,,,,,,,,,
Grid ref,SK652800,Long,-1.022853,Lat,53.312931,,,,,,,
Station no,2634,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.88,1.10,1.22,1.98,2.28,0.56,2.85,0.75,0.89,1.13,,
February,4.09,1.27,1.71,0.78,3.32,0.82,1.78,1.52,1.33,0.55,,
March,0.71,1.98,1.59,2.67,2.08,1.93,1.30,1.34,2.63,3.40,,
April,1.22,1.25,2.17,1.19,1.30,1.67,0.75,1.64,1.91,1.18,,
May,1.44,0.95,2.80,2.55,2.32,0.47,1.55,3.16,2.09,1.20,,
June,1.87,1.76,1.43,1.54,0.57,3.27,1.80,2.86,1.73,2.84,,
July,2.01,3.86,1.87,2.54,2.20,1.47,0.48,1.44,2.40,3.74,,
August,5.01,1.07,3.36,4.59,3.13,2.92,1.65,1.57,2.60,3.60,,
September,1.72,0.84,1.27,2.83,1.38,1.37,0.85,0.55,1.29,2.34,,
October,2.35,1.48,2.14,5.05,0.34,1.23,5.06,5.17,0.72,2.47,,
November,2.25,2.31,1.76,1.55,0.78,2.65,2.56,1.88,1.09,0.14,,
December,2.83,4.41,1.63,0.81,1.14,0.56,2.50,2.20,1.36,4.89,,
Total,28.38,22.28,22.95,28.08,20.84,18.92,23.13,24.08,20.04,27.48,,
Calc annual,28.38,22.28,22.95,28.08,20.84,18.92,23.13,24.08,20.04,27.48,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
