MIDDLESBROUGH - SOUTH BANK,,,,,,,,,,,,,,
Grid ref,NZ543198,Long,-1.162,Lat,54.571,Elevation,41,ft,,,,,,
Station no,3487/2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.81,4.93,0.54,1.16,1.59,2.09,0.85,1.86,1.92,2.56,1.39,1.28,2.59,4.33
February,1.91,0.70,0.37,2.79,1.95,0.47,1.56,1.20,1.96,2.13,1.86,2.95,0.52,1.78
March,2.43,0.97,1.07,0.63,3.14,1.13,0.20,1.33,1.52,0.41,0.97,2.40,0.44,1.20
April,2.57,0.70,1.85,1.72,1.53,1.31,1.62,0.15,1.14,1.05,0.37,1.39,1.45,0.38
May,1.29,1.10,0.84,1.63,4.54,0.83,1.24,2.51,2.12,0.42,1.04,2.84,0.47,0.63
June,2.52,4.94,0.84,1.16,1.49,1.20,2.10,2.06,2.34,3.42,3.15,2.86,2.17,0.28
July,3.27,0.93,1.33,2.59,2.10,1.05,2.54,0.99,1.08,2.49,3.51,1.87,2.43,4.84
August,0.38,3.37,2.05,4.08,4.75,1.92,3.30,4.24,0.57,7.01,2.19,2.98,0.22,3.15
September,2.16,1.12,0.59,2.25,1.38,4.96,1.28,1.47,1.06,1.59,2.82,1.75,0.98,2.28
October,0.34,0.99,2.17,0.87,1.24,2.02,1.52,3.69,1.31,1.22,1.69,1.15,1.08,6.67
November,1.96,1.21,2.58,5.50,3.79,3.87,1.20,3.44,1.56,1.27,1.79,0.94,4.42,3.26
December,1.59,0.89,2.20,1.95,2.71,1.74,0.94,2.03,2.23,1.64,1.38,2.56,2.57,2.88
Total,21.23,21.85,16.43,26.33,30.21,22.59,18.35,24.97,18.81,25.21,22.16,24.97,19.34,31.68
,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/255,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/078,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The station continued until 1966 according to MIDAS. (MIDAS src_id = 2073),,,,,,,,,,,,,,
