"MIDDLESBROUGH - SOUTH BANK",,,,,,,,,,,,
Grid ref,NZ493200,Long,-1.238919,Lat,54.572822,,,,,,,
Station no,3487/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.59,2.09,0.85,1.86,1.92,2.56,1.39,1.28,2.59,4.33,,
February,1.95,0.47,1.56,1.20,1.96,2.13,1.86,2.95,0.52,1.78,,
March,3.14,1.13,0.20,1.33,1.52,0.41,0.97,2.40,0.44,1.20,,
April,1.53,1.31,1.62,0.15,1.14,1.05,0.37,1.39,1.45,0.38,,
May,4.54,0.83,1.24,2.51,2.12,0.42,1.04,2.84,0.47,0.63,,
June,1.49,1.20,2.10,2.06,2.34,3.42,3.15,2.86,2.17,0.28,,
July,2.10,1.05,2.54,0.99,1.08,2.49,3.51,1.87,2.43,4.84,,
August,4.75,1.92,3.30,4.24,0.57,7.01,2.19,2.98,0.22,3.15,,
September,1.38,4.96,1.28,1.47,1.06,1.59,2.82,1.75,0.98,2.28,,
October,1.24,2.02,1.52,3.69,1.31,1.22,1.69,1.15,1.08,6.67,,
November,3.79,3.87,1.20,3.44,1.56,1.27,1.79,0.94,4.42,3.26,,
December,2.71,1.74,0.94,2.03,2.23,1.64,1.38,2.56,2.57,2.88,,
Total,30.21,22.59,18.35,24.97,18.81,25.21,22.16,24.97,19.34,31.68,,
Calc annual,30.21,22.59,18.35,24.97,18.81,25.21,22.16,24.97,19.34,31.68,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
