MANSFIELD WW RAINWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK586586,Long,-1.125824,Lat,53.121363,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,26323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.72,1.91,0.61,2.5,4.91,1.75,1.18,2.11,3.03,0.96,3.85,0.91,1.23,1.01,2.38,1.28,4.05,3.99,1.29,2.46,0.79,2.86,2.19,3.97,2.88,2.04,3.77,1.51,1.98,2.16,3.2,1.73,4.39,1.44,4.11,1.87,1.38,2.12,2.07,1.24,3.72,3.8,2.53,5.15,2.22,3.69,2.66,3.73,2.73,1.79,2.47,2.27,5.08,1.22,0.91,2.18,1.9,0.71,1.37,2.57,3.65,1.85,2.83,2.9,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.8,3.75,1.03,1.38,4.26,1.54,2.49,1.33,3.79,1.02,2.92,1.84,1.76,0.86,2.68,1.25,1.74,0.88,1.42,3.67,4.69,1.23,2.14,3.22,2.42,0.22,3.09,4.56,1.17,2.64,1.43,1.8,1.72,0.8,0.53,2.61,0.48,2.52,0.75,2.63,2.27,3.33,0.66,1.28,2.34,2.19,1.01,0.44,2.46,1.85,2.3,2.13,1.34,0.74,5.4,3.66,0.41,1.66,2.4,1.92,0.76,3.04,3.22,0.25,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.45,2.3,1.39,0.73,1.4,2.24,1.59,4.13,2.15,2.57,1.8,1.6,2.89,4.21,0.54,1.76,3.2,3.72,2.51,0.68,4.52,1.99,1.05,4.62,2.42,1.03,1.85,1.52,1.21,0.85,0.65,2.49,2.67,0.08,2.44,0.25,1.35,2.56,2.18,0.77,1.45,1.93,0.16,1.67,1.78,3.61,1.46,0.63,0.31,0.6,1.11,5.37,0.66,1.26,1.01,3.24,2.34,1.47,2.17,2.75,0.68,2.05,1.94,1.25,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.07,1.81,2.62,1.97,1.14,1.73,2.45,1.8,1.4,1.5,0.41,1.61,2.3,1.51,1.6,0.86,0.39,2.55,0.9,1.1,1.6,1.52,1.96,1.64,4.76,0.93,3.4,2.24,2.07,2.33,1.8,1.73,0.79,1.34,3.34,3.21,2.52,0.95,2.28,2.63,1.91,2.58,0.04,1.67,1.24,1.23,0.88,0.63,2.06,1.9,1.26,2.32,1.73,2.34,2.83,1.34,1.58,2.19,0.2,1.05,1.97,0.26,0.62,2.85,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.55,1.48,2.28,3.31,1.07,1.04,2.91,3.25,1.81,0.66,1.7,3.72,2.54,1.25,1.75,1.31,4.69,1.98,3.04,1.69,2.61,1.79,2.22,1.49,2.24,1.59,1.25,2.89,3.41,3.32,1.78,1.09,1.18,1.17,1.84,3.25,5.84,1.66,0.94,0.25,0.62,3.06,2.69,1.24,1.26,2.11,4.01,2.76,1.77,1.6,1.64,2.04,2.01,2.06,1.98,3.27,2.32,2.48,3.24,2.83,0.44,1.24,2.23,0.76,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.7,2.98,1.28,1.69,3.76,1.9,1.56,1.74,0.52,2.86,2.14,2.83,2.13,3.3,1.66,3.19,3.59,0.45,2.79,0.99,2.06,1.89,0.39,0.83,2.1,0.83,1.26,0.77,1.55,0.1,2.77,3.72,2.12,1.21,1.48,3.29,0.99,1.36,0.51,2.29,3.41,0.61,1.64,1.66,1.25,0.26,0.86,1.49,1.43,2.3,3.22,1.84,2.77,0.93,1.18,1.02,2.84,2.03,4.12,3.07,3.68,1.5,4.83,0.73,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.07,0.44,1.11,1.26,1.55,4.73,1.06,2.84,2.12,2.09,0.51,2.46,2.65,3.68,2.38,0.05,3.39,0.95,2.37,6.06,1.13,1.44,3.14,2.67,5.32,0.5,4.21,4.53,2.74,0.96,2.35,1.97,1.02,1.4,5.38,3.95,5.65,1.55,1.5,0.46,4.88,2.13,4.06,4.42,2.82,3.61,1.75,0.62,1.48,1.9,2.09,2.48,1.14,3.8,2.3,1.06,0.95,2.48,1.83,0.6,3.19,3.67,4.77,2.18,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.39,3.59,2.81,0.36,4.68,1.57,3.24,5.52,3.56,3.39,1.76,2.13,3.16,3.47,3.31,2.66,5.53,1.71,1.5,2.5,2.71,6.42,2.11,2.58,0.95,3.22,6.82,3.11,2.73,2.43,1.96,4.02,2.32,2.25,2.95,4.23,1.11,0.43,1.69,1.75,0.87,0.5,2.53,3.25,0.18,3.25,2.14,1.76,3.68,2.47,5.19,0.15,3.71,2.1,3.52,6.94,2.17,1.51,3.99,1.61,6.76,4.61,3.08,0.75,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.55,2.37,0.79,3.31,0.66,0.97,1.22,2.77,1.24,1.71,0.93,0.55,1.98,2.74,0.96,1.39,1.08,2.68,0.83,0.98,1.5,1.17,5.13,2.22,1.66,1.02,3.08,2.57,2.42,3.44,1.67,4.55,0.3,0.33,4.78,4.37,1.44,1.22,1.53,4.25,3.2,1.18,1.92,0.91,0.74,0.32,1.14,2.09,3.39,1.27,3.13,1.29,2.36,1.56,3.22,1.57,2.44,1.28,2.85,0.64,2.45,5.28,2.71,0.14,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.07,1.02,3.06,3.24,2.29,2.42,2.31,5.83,0.36,1.35,6.02,4.98,0.83,3.95,1.86,2.22,3,4.82,2.63,1.66,2.72,2.85,1.49,2.67,1.76,3.59,1.01,1.89,4.87,3.32,2.17,2.35,5.5,3.42,2.31,0.52,2.8,5.08,0.92,3.16,2.41,3.79,2.91,2.76,4.16,2.48,1.55,1.46,2.7,3.84,1.5,0.32,1.51,4.28,0.92,0.85,3.57,2.52,3.41,1.45,0.99,1.01,2.1,2,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.35,2.59,2.79,1.43,2.48,2.66,1.83,1.66,1.07,3.16,2.83,2.15,1.34,0.39,3.94,2.56,2.47,1.87,3.36,2.48,3.55,0.95,1.66,2.13,1.17,1.77,1.59,2.55,1.9,2.21,3.83,2.32,3.06,5.62,3.4,3.45,1.84,2,1.99,5.37,2.72,1.5,3.02,3.46,6,3.17,1.47,1.42,4.47,0.57,5.59,1.48,1.22,3.14,5.05,6.76,1.58,1.44,5.59,2.03,0.84,2.49,0.8,2.78,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,4.34,3.22,1.84,2.65,4.58,5.72,2.02,1.26,2.03,0.81,2.94,3.07,2.17,5.54,5.04,5.18,2.89,1.17,5.79,6.19,2.68,1.34,3.47,4.2,3.2,2.32,3.87,3,3.1,2.48,1.2,2.95,1.91,4.65,2.37,1.19,0.78,0.3,4.99,3.29,1.84,2.86,4.22,1.71,1.36,0.7,1.52,0.67,1.34,1.87,3.22,2.18,3.95,2.54,1.33,2.25,1.95,0.92,2.2,2.37,2.97,2.01,3.56,4.12,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,26.06,27.46,21.61,23.83,32.78,28.27,23.86,34.24,23.08,22.08,27.81,27.85,24.98,31.91,28.1,23.71,36.02,26.77,28.43,30.46,30.56,25.45,26.95,32.24,30.88,19.06,35.2,31.14,29.15,26.24,24.81,30.72,26.98,23.71,34.93,32.19,26.18,21.75,21.35,28.09,29.3,27.27,26.38,29.18,25.35,26.62,20.45,17.7,27.82,21.96,32.72,23.87,27.48,25.97,29.65,34.14,24.05,20.69,33.37,22.89,28.38,29.01,32.69,20.71,37.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
