HORLEY-TINSLEY-SW,,,,,,,,,,
Grid ref,TQ289402,Long,-0.15858,Lat,51.1466,Elevation,210,ft,,
Station no,0109/6/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.48,2.53,1.2,,3.48,4.47,2.32,3.29,2.94,3.41
February,6.99,0.73,1.42,,1.79,0.43,4.82,2.73,0.03,3.4
March,3.97,3,0.38,,1.4,0.98,1.36,2.41,2.68,2.15
April,2.73,1.9,2.6,,0.31,1.87,0.25,1.25,2.66,0.94
May,2.42,1.61,1.66,,4.65,0.34,1.49,2.67,0.64,1.6
June,1.9,1.06,1.71,,2.04,2.63,1.19,4.11,0.96,1.85
July,1.99,0.75,3.68,,0.22,3.36,3.55,1.63,1.4,3.18
August,4.98,2.85,2.01,,1.06,3.33,2.89,3.11,1.34,4.68
September,2.98,3.17,4.25,,2.21,2.71,3.04,5.49,0.11,3.82
October,1.53,3.26,4.86,,4.32,1.67,1.7,3.26,3.24,6.89
November,6.54,4.01,1.82,,1.3,1.1,3.51,1.82,3.69,6.32
December,3.35,2.56,,,3.05,4.64,3.02,3.87,7.41,3.95
Total,42.86,27.43,,,25.83,27.53,29.14,35.64,27.1,42.19
,,,,,,,,,,
1951 Jan Station started,,,,,,,,,,
1953 Dec Estimated,,,,,,,,,,
1954 Discontinued for one year,,,,,,,,,,
,,,,,,,,,,
NGR taken from MIDAS,,,,,,,,,,
Post 1960 known as Tinsley S Wks SRC_ID 6498,,,,,,,,,,
1951-2012,,,,,,,,,,
