LIBERTON (THE INCH) - NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT277708,Long,-3.158577,Lat,55.924819,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5137/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.16,2.59,3.95,3.87,0.92,1.79,3.1,2.34,2,3.34,1.9,,,2.49,1.49,2.8,2.89,0.56,2.63,2,1.88,3.66,1.72,0.94,2.82
February,,,,,,2.43,3.12,0.72,1.74,1.07,3.12,1.37,1.37,0.81,2.94,1.53,,,2,3.4,2.32,0.63,0.83,1.83,1.39,1.83,2.87,2.05,0.56,2.12
March,,,,,,1.66,2.17,0.61,2.84,2.71,3.12,1.12,1.55,0.54,0.92,1.34,,,1.05,2.04,2.84,1.38,0.37,1.45,1.97,1.38,1.91,2.01,0.51,1.33
April,,,,,,1.41,0.91,0.12,1.24,2.17,1.31,1.45,1.08,1.86,1.13,0.38,,2.12,1.29,2.3,2.49,1.58,2.03,1.28,0.55,0.72,0.73,1.77,1.88,0.86
May,,,,,,0.87,2.65,4.27,1.29,1.94,3.15,1.37,3.69,2.26,4.44,2.15,,2.05,2.36,1.99,3.23,1.92,1.69,5.48,2.15,0.76,1.59,2.05,0.71,1.08
June,,,,,,1.42,1.06,3.09,1.53,0.48,0.92,1.09,1.83,2.15,1.67,1.49,,4.24,1.24,2.11,1.96,2.58,1.33,2.49,0.74,2.94,1.42,3.17,2.19,1.28
July,,,,,,3.87,5.84,2.52,2.3,7.95,3.12,2.98,3.12,3.02,2.07,3.2,,2.38,2.77,3.08,3.52,2.31,4.16,1.89,1.9,5.3,5.31,7.43,2.81,2.81
August,,,,,,1.05,4.35,1.16,1.02,0.7,3.02,2.65,3.79,2.54,3.13,3.46,,10.04,3.14,2.9,4.97,4.78,2.06,5.68,1.35,7.35,3.02,3.48,0.21,4.09
September,,,,,,2.03,1.69,2.43,1.69,2.39,1.07,2.8,1.25,4.69,3.07,3.21,,2.88,1.63,4.92,1.1,2.18,2.4,3.71,1.27,4.05,1.56,2.44,0.52,1.02
October,,,,,,1.08,4,4.86,2.02,2.45,3.53,2.52,2.96,2.36,3.73,1.05,,1.46,4.54,2.23,0.54,1.62,1.81,5.9,1.65,1.99,2.05,1.27,1.72,3.17
November,,,,,,2.91,0.24,4.71,3.81,4.01,2.1,0.66,0.98,5.63,0.22,3.29,,2.31,4.57,3.55,4.68,2.24,3.52,3.21,0.89,0.71,2.44,1.2,4.79,2.57
December,,,,,,1.86,2.64,2.32,0.94,2.64,0.98,1.63,0.97,2.27,2.29,1.94,,2.47,3.86,1.96,2.45,3,3.67,3.07,4.54,3.07,2.54,4.3,3.01,2.57
Total,,,,,,23.75,31.26,30.76,24.29,29.43,27.23,22.74,24.93,30.13,28.95,24.94,,,30.94,31.97,32.9,27.11,24.43,38.62,20.4,31.98,29.1,32.89,19.85,25.72
