"LIBERTON, THE INCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT276708,Long,-3.160177,Lat,55.924804,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5137/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.95,3.46,0.85,0.93,3.29,1.49,1.44,3.29,2.21,1.92,2.09,2.54,4.32,,1.37,1.99,3.09,2.7,2.28,4.71,0.72,1.76,1.63,,,,,,,,,
February,,,,,,,,,,2.04,3.22,2.48,1.44,1.3,2.02,2.58,4.16,0.61,2.76,1.61,2.66,0.6,1.56,2.41,0.66,3.31,2.63,1,2.53,0.78,0.24,1.39,,,,,,,,,
March,,,,,,,,,3.6,3.65,1.41,1.19,0.81,2.91,3.2,1.47,3.42,1.37,0.58,1.57,1.99,1.41,1.23,0.86,1.03,2.45,1.49,1,1.21,0.15,1.3,1.2,,,,,,,,,
April,,,,,,,,,2.06,2.58,3.6,1.32,0.25,2.6,1.17,1.77,2.38,1.97,0.61,2.64,1.43,0.63,0.83,1.68,1.08,3.14,1.45,1.3,0.41,1.48,0.61,2.07,,,,,,,,,
May,,,,,,,,,1.6,1.54,1.8,1.02,1.06,1.02,1.72,1.58,3.85,1.4,3.01,0.68,2.18,1.18,0.53,1.52,4.21,3.99,2.8,1.55,1.07,1.51,0.5,2.78,,,,,,,,,
June,,,,,,,,,0.52,1.97,1.19,2.29,4.24,1.22,0.51,1.21,3.09,1.63,0.51,1.64,0.96,0.42,1.17,0.8,1.6,0.4,2.93,3.6,3.95,2.11,1.26,4.1,,,,,,,,,
July,,,,,,,,,3.39,3.54,4.23,1,1.84,0.48,2.16,3.36,5.63,1.33,3.42,0.57,5.24,1.72,3.04,2.04,3.89,1.55,2.32,2.54,1.82,1.35,3.18,3.51,,,,,,,,,
August,,,,,,,,,1.47,1.63,5.17,1,3.58,1.6,1.42,4.09,4.75,4.51,1.62,1.43,5.2,2.3,1.27,3.43,2.02,3.41,1.96,7.85,4.47,2.71,4.64,4.63,,,,,,,,,
September,,,,,,,,,2.68,2.73,0.63,2.08,1.62,2.27,0.28,2.22,1.5,1.13,4.31,2.29,1.57,1.48,1.54,1.55,2.88,4.24,3.65,8.06,2.18,0.14,2.74,1.59,,,,,,,,,
October,,,,,,,,,1.08,5.06,2.06,3.2,1.7,1.52,1.29,2.4,4.56,2.69,2.97,2.49,0.78,3.32,1.6,1.82,3.51,1.78,3.3,2.67,2.76,1.47,2.79,1.36,,,,,,,,,
November,,,,,,,,,1.34,0.87,2.79,4.29,1.34,1.72,2.91,1.1,3.5,1.84,1.52,4.84,2.14,0.86,1.04,2.95,1.16,0.76,3.11,1.4,2.76,2.11,2.79,3.87,,,,,,,,,
December,,,,,,,,,0.39,3.36,1.01,2.04,3.06,0.69,4.13,4.43,3.08,2.02,1.46,3.4,2.13,2.48,3.58,2.5,3.18,3.28,0.51,1.3,1.53,2.56,1.29,1.07,,,,,,,,,
Total,,,,,,,,,,32.92,30.57,22.76,21.87,20.62,22.3,27.65,43.21,22.71,24.69,25.25,28.82,20.72,,22.93,27.21,31.4,28.85,34.55,29.4,17.09,23.1,29.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 June mistranscription;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan estimated therefore it and total removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
