"MACCLESFIELD SWANSCOE PARK",,,,,,,,,,,,
Grid ref,SJ936752,Long,-2.097430,Lat,53.273745,,,,,,,
Station no,RR2949,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.37,2.31,2.22,3.29,3.22,2.23,4.60,1.41,2.65,1.78,,
February,3.90,1.78,1.36,2.67,3.57,2.33,3.51,1.95,3.64,1.82,,
March,1.20,2.49,2.75,4.51,1.78,3.76,3.14,2.92,3.15,3.36,,
April,2.34,2.84,2.26,2.24,1.93,2.75,3.01,1.92,2.02,2.60,,
May,1.66,1.25,4.27,2.30,2.51,0.82,3.85,3.19,2.50,2.07,,
June,4.01,1.79,1.57,1.34,0.64,2.31,1.66,5.80,3.07,3.06,,
July,3.44,3.03,2.58,3.12,1.79,2.82,1.56,3.50,4.63,5.26,,
August,4.11,2.31,3.60,4.68,4.65,4.31,2.98,5.22,3.35,2.97,,
September,1.51,1.04,1.38,5.18,1.82,2.51,1.90,0.62,3.89,2.54,,
October,5.29,3.64,4.35,7.39,1.21,3.18,5.46,3.73,0.93,5.23,,
November,2.78,4.22,1.81,3.74,2.98,4.03,2.74,2.41,3.07,1.43,,
December,4.09,5.05,2.81,2.06,2.06,0.67,4.40,2.90,2.91,7.41,,
Total,38.70,31.75,30.96,42.52,28.16,31.72,38.81,35.57,35.81,39.53,,
Calc annual,38.70,31.75,30.96,42.52,28.16,31.72,38.81,35.57,35.81,39.53,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
