SWANSEA-WW-BWLCH,,,,,,,,,,,,,,,,,,,,
Grid ref,SN869194,Long,-3.6438274,Lat,51.861684,Elevation,1246,ft.,,,,,,,,,,,,
Station no,RR7201,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,16.89,9.28,22.71,12.52,15.02,15.04,10.98,11.26,17.55,4.28,11.43,
February,,,,,,,,,10.29,3.41,24.56,27.07,18.3,7.74,16.35,15.14,14.13,2.39,11.38,
March,,,,,,,,,13.76,13.27,6.7,7.81,33.91,19.79,15.04,4.1,2.79,5.46,6.19,
April,,,,,,,,,7.02,8.19,11.39,12.74,2.09,16.67,3.49,5.32,8,5.21,3.03,
May,,,,,,,,,12.47,4.52,8.31,5.69,6.59,6.98,5.49,4.17,4.9,5.55,4.08,
June,,,,,,,,,4.65,7.14,10.1,10.41,15.89,5.69,2.99,2.54,6.54,4.94,3.43,
July,,,,,,,,,15.17,11.26,15.5,1.17,12.51,1.82,8.3,11.25,5.16,6.27,10.69,
August,,,,,,,,,15.21,4.82,19.2,13.5,24.73,4.41,9.19,4.2,8.11,23.26,3.99,
September,,,,,,,,,8.33,8.5,1.26,9.43,2.61,5.17,3.96,1.96,5.39,5.44,17.4,
October,,,,,,,,,4.21,35.7,9.85,11.72,11.56,8.05,4.15,5.09,22.24,15.88,10.13,
November,,,,,,,,,12.91,8.12,15.92,25.3,10.31,17.75,13.55,5.73,11.34,9.72,8.05,
December,,,,,,,,,14.17,29.77,24.94,35.23,23.37,8.03,18.19,23.14,8.21,3.54,21.81,
Total,,,,,,,,,135.08,143.98,170.44,172.59,176.89,117.14,111.68,93.9,114.36,91.94,111.61,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the Long lat on the record but closer to the railway as noted on the record.,,,,,,,,,,,,,,,,,,,,
Inspector thinks the observer may have been using the wrong measure leading to large readings for 1910 to 1912,,,,,,,,,,,,,,,,,,,,
