ORMESBY,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ531175,Long,-1.181,Lat,54.550,Elevation,100,ft,,,,,,,,,,,,,,
Station no,RR3128,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,,2.12,0.91,2.92,2.03,1.76,0.77,2.29,1.62,0.36,2.52,0.71,1.13,0.57,1.72,1.18,2.46,2.79,1.51,2.52,0.54,3.41
February,,1.47,1.34,0.81,4.58,2.24,1.19,1.15,2.21,0.70,1.43,1.16,1.67,1.29,1.95,1.03,1.37,0.75,1.21,2.41,3.35,1.26
March,,2.60,1.81,1.59,1.53,1.74,0.78,2.06,1.25,1.25,1.34,0.84,2.31,3.85,0.40,2.30,2.04,1.59,1.18,1.87,4.13,1.95
April,,1.64,1.74,1.88,1.11,1.24,1.62,1.70,1.40,2.11,0.66,1.58,2.82,1.98,2.36,1.18,0.14,2.31,0.57,1.05,2.05,2.13
May,,1.11,2.39,4.14,1.09,2.17,2.41,2.85,3.17,0.78,3.03,3.71,2.11,1.77,2.04,0.85,2.53,2.12,2.14,1.86,2.53,1.19
June,,2.31,2.02,1.64,3.41,1.70,1.88,3.41,1.31,0.93,1.05,3.58,0.68,2.88,2.12,4.24,4.26,1.66,4.10,0.48,1.53,2.04
July,,0.98,1.76,1.75,1.68,5.28,2.90,3.34,2.59,0.80,1.29,1.63,2.38,2.93,2.49,0.90,3.88,1.10,5.59,4.72,1.90,0.95
August,1.62,3.67,2.37,0.89,5.18,1.88,2.21,1.71,2.55,3.33,2.64,2.51,1.70,5.33,3.33,3.10,4.00,1.36,1.00,3.47,2.63,6.86
September,3.15,2.26,0.26,2.89,0.63,0.67,0.95,3.64,1.41,2.94,0.49,0.49,1.83,2.10,0.49,2.03,1.32,1.64,2.45,1.23,2.37,0.91
October,5.26,1.63,4.28,3.53,6.16,1.68,3.11,6.71,0.59,2.67,4.68,4.44,1.17,2.59,3.23,2.14,2.06,3.65,2.04,2.11,2.38,2.20
November,1.97,2.52,2.78,1.47,2.50,4.29,0.39,1.82,2.66,4.95,2.65,2.32,1.25,2.14,2.20,3.99,2.50,1.34,2.65,2.24,2.40,1.69
December,3.11,1.53,1.28,2.60,1.93,3.75,1.64,0.98,2.30,0.30,2.08,3.38,0.84,3.61,1.77,2.89,1.00,1.82,4.01,4.37,2.25,2.13
Total,,23.84,22.94,26.11,31.83,28.40,19.85,31.66,23.06,21.12,23.86,26.35,19.89,31.04,24.10,25.83,27.56,22.13,28.45,28.33,28.06,26.72
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/215,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/051,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/072,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Grid reference is approximate location based on the directions on the sheets.,,,,,,,,,,,,,,,,,,,,,,
