STROUD-OAKRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO926036,Long,-2.108549,Lat,51.731063,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2155/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.95,4,6.1,2.3,2.59,3.4,2.58,5.78,1.56,0.63,4.24,2.24,1.11,2.11,2.77,3.69,,,,
February,,,,,,,,,,,3.9,0.8,1.46,0.82,2.77,2.66,1.4,1.65,1.77,6.88,4.24,0.74,2.05,3.54,1.84,0.44,,,,
March,,,,,,,,,,,2.89,3.03,1.18,0.4,1.23,1.31,8.39,1.65,1.93,1.57,3.96,3.32,1.13,3.26,1.75,0.67,,,,
April,,,,,,,,,,,1.32,1.18,0.62,1.77,1.33,2,3.08,2.71,2,2.92,3.57,2.1,2.89,0.41,1.09,2.28,,,,
May,,,,,,,,,,,1.84,4.3,3.76,1.42,2.69,3.61,1.77,4.65,3.17,2.27,2.94,3.1,2.99,1.8,4.96,0.62,,,,
June,,,,,,,,,,,1.81,0.22,2.49,4.46,4.17,3.63,2.05,3.16,0.73,1.82,1.56,2.17,1.88,5.19,4.13,2.6,,,,
July,,,,,,,,,,,3.08,3.48,1.47,2.48,1.65,1.56,3.8,0.96,2.09,4.38,1.33,0.4,4.27,3.14,0.35,4.36,,,,
August,,,,,,,,,,,3.99,4.19,3.18,2.66,2.12,7.9,0.45,4.66,1.57,3.65,5.96,6.48,4.32,4.08,0.79,4.73,,,,
September,,,,,,,,,,,0.88,2.07,1.93,3.23,2.15,4.23,1.87,3.18,1.78,5.65,3.21,1.42,3.3,4.23,0.95,4.37,,,,
October,,,,,,,,,,,3.07,3.73,2.8,4.81,3.6,0.75,0.38,3.61,6.66,1.03,0.81,5.17,2.31,3.76,1.89,1.37,,,,
November,,,,,,,,,,7.79,2.71,1.62,2.06,5.83,0.42,5.94,2.03,1.8,3.32,6.42,7.55,3.8,1.49,6.46,4.13,1.08,,,,
December,,,,,,,,,,1.35,1.86,4.02,1.84,2.08,5.43,2.92,2.6,4.4,1.64,2.15,2.91,3.24,0.92,2.75,4.11,4.31,,,,
Total,,,,,,,,,,,30.3,32.64,28.89,32.26,30.15,39.91,30.4,38.21,28.22,39.37,42.28,34.18,28.66,40.73,28.76,30.52,,,,
