"REAY SANDSIDE",,,,,,,,,,,,
Grid ref,NC970647,Long,-3.771952,Lat,58.558114,,,,,,,
Station no,5816,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.13,4.66,2.89,3.43,,
February,,,,,,,5.40,2.68,3.15,1.65,,
March,,,,,,,2.27,2.39,3.68,2.84,,
April,,,,,,,1.93,2.43,2.60,2.20,,
May,,,,,,,3.13,1.84,2.36,1.98,,
June,,,,,,,1.39,4.05,2.03,2.21,,
July,,,,,,,2.01,1.50,1.55,2.33,,
August,,,,,,,3.65,4.40,1.61,3.69,,
September,,,,,,,2.05,0.89,4.90,2.16,,
October,,,,,,,2.71,2.02,1.09,3.88,,
November,,,,,,,6.04,1.83,3.71,6.80,,
December,,,,,,,3.91,2.35,2.66,3.69,,
Total,,,,,,,37.62,31.04,32.23,36.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.62,31.04,32.23,36.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,-0.00,0.00,,
