"REAY (THE MANSE)",,,,,,,,,,,,
Grid ref,NC971648,Long,-3.770279,Lat,58.559035,,,,,,,
Station no,5816,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,4.50,3.79,5.44,,,,,,,,
February,3.85,2.50,2.75,2.25,,,,,,,,
March,3.40,2.50,1.53,2.34,,,,,,,,
April,3.12,0.61,2.75,1.31,,,,,,,,
May,0.54,2.15,2.53,2.65,,,,,,,,
June,1.70,2.35,1.67,4.70,,,,,,,,
July,3.60,2.09,5.00,3.83,,,,,,,,
August,3.30,3.00,2.00,,,,,,,,,
September,1.02,3.71,2.72,,,,,,,,,
October,2.10,3.71,1.05,,,,,,,,,
November,6.70,4.50,3.10,,,,,,,,,
December,4.29,3.58,2.58,,,,,,,,,
Total,36.62,35.20,31.47,,,,,,,,,
Calc annual,36.62,35.20,31.47,22.52,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
