"KINBRACE (BORROBOL LODGE)",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR4732,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,,,,,,,,,,,
February,3.80,,,,,,,,,,,
March,2.78,,,,,,,,,,,
April,4.13,,,,,,,,,,,
May,0.84,,,,,,,,,,,
June,2.05,,,,,,,,,,,
July,2.28,,,,,,,,,,,
August,2.84,,,,,,,,,,,
September,0.47,,,,,,,,,,,
October,2.00,,,,,,,,,,,
November,4.94,,,,,,,,,,,
December,6.58,,,,,,,,,,,
Total,35.49,,,,,,,,,,,
Calc annual,35.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
