"KINBRACE, BORROBOL",,,,,,,,,,,,,,,,,,,,
Grid ref,NC8668526538,Long,-3.93031,Lat,58.213,Elevation,350,ft,,,,,,,,,,,,
Station no,RR4732,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.9,2.03,3.75,2.41,3.01,3.1,2.99,1.75,,,,,,,,
February,,,,,3.6,2.97,4.09,2.7,4.74,1.75,2.48,3.5,,,,,,,,
March,,,,,1.6,4.79,3,1.94,4.2,2.5,2.75,3.12,,,,,,,,
April,,,,3.18,5.13,2.61,2.8,2,3,2.18,4.2,2.43,,,,,,,,
May,,,,1.6,1.5,1.25,4.38,2.28,1.51,2.34,2,1.7,,,,,,,,
June,,,,1.22,1.68,0.82,0.74,2.95,1.97,1.45,1.45,1.85,,,,,,,,
July,,,,3.4,1,1.45,3.85,3.85,1.02,3,3.85,2.57,,,,,,,,
August,,,,5,2.94,3.74,2.62,2.96,,2.38,4.76,1,,,,,,,,
September,,,,3.48,2.75,1.9,1.65,0.9,,2,1.34,,,,,,,,,
October,,,,5.25,2.25,4.52,3,0.9,,4.9,2.1,,,,,,,,,
November,,,,4.6,1.95,4.48,7.27,2.15,2.31,4.8,8.95,,,,,,,,,
December,,,,1.6,2.77,2.02,3.6,2.21,1.5,4.85,5.45,4.53,,,,,,,,
Total,,,,,29.07,32.58,40.75,27.25,,35.25,42.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location from 1911 Census,,,,,,,,,,,,,,,,,,,,
Frank Sykes Borrobol Lodge,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 Total deleted,,,,,,,,,,,,,,,,,,,,
1909 Mar Estd,,,,,,,,,,,,,,,,,,,,
1911 Nov Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4732,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
